date,ticker,open,high,low,close,volume,ma5,ma20,ma60,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,bb_width,atr14,vol_ma20,vol_ratio,close_ma5_ratio,close_ma20_ratio,close_ma60_ratio,ma5_ma20_ratio,ret_1d,ret_3d,ret_5d,next_ret,label
2026-05-18,005930,269500.0,288500.0,262000.0,281000.0,33555214.0,282100.0,246925.0,211318.33333333334,65.32092030863487,21298.849600402813,18458.998630328966,2839.850970073847,304936.44283673685,246925.0,188913.55716326315,0.46987095544587915,16163.460960297412,29189131.5,1.1495790479411832,-0.0038993264799715988,0.1379973676217474,0.32974737954586675,0.1424521615875265,0.038817005545286554,-0.010563380281690127,-0.015761821366024553,-0.019572953736654797,0
2026-05-19,005930,274000.0,281500.0,266000.0,275500.0,30767569.0,281400.0,249900.0,212743.33333333334,62.47687255346483,20446.59995159172,18856.518894581517,1590.081057010204,307362.68354332214,249900.0,192437.31645667786,0.4598854225155834,16116.070891704741,29823543.85,1.031653687930182,-0.020966595593461257,0.10244097639055627,0.29498770035880484,0.12605042016806722,-0.019572953736654797,-0.0692567567567568,-0.012544802867383464,0.001814882032667775,1
2026-05-20,005930,278000.0,282500.0,263500.0,276000.0,35662077.0,279800.0,252975.0,214175.0,62.63614047715507,19585.759344100516,19002.366984485318,583.3923596151981,309097.61130774283,252975.0,196852.38869225714,0.4437008503428627,16322.065828011546,30751260.65,1.1596947977480723,-0.013581129378127277,0.09101689890305376,0.28866581066884556,0.10603814606186379,0.001814882032667775,0.020332717190388205,-0.028169014084507005,0.08514492753623193,2
2026-05-21,005930,291000.0,299500.0,287000.0,299500.0,36168689.0,280500.0,257000.0,215950.0,69.24376056054537,20562.755912657536,19314.44477011976,1248.3111425377756,314332.36433289654,257000.0,199667.6356671035,0.44616625939997295,16834.775411725008,31722088.5,1.1401736364237178,0.06773618538324411,0.16536964980544755,0.38689511460986337,0.0914396887159532,0.08514492753623193,0.06583629893238441,0.011824324324324342,-0.023372287145242088,0
2026-05-22,005930,300000.0,300500.0,292000.0,292500.0,18395274.0,284900.0,260750.0,217491.66666666666,65.526482484235,20535.471105542267,19558.650037204265,976.8210683380021,317059.4130674436,260750.0,204440.58693255644,0.43190345593437063,16239.434310887507,31800678.2,0.5784553991052933,0.026676026676026643,0.12176414189837015,0.34487911414230443,0.09261744966442964,-0.023372287145242088,0.061705989110707904,0.0813308687615526,0.022222222222222143,2
2026-05-26,005930,298000.0,302000.0,297500.0,299000.0,23441371.0,288500.0,264475.0,219083.33333333334,67.28286716938834,20798.590175687947,19806.638064901003,991.9521107869441,320555.7230695181,264475.0,208394.27693048186,0.4240909202723745,15758.046145824115,31246472.5,0.7502085555417496,0.03639514731369142,0.130541639096323,0.36477748193229353,0.09084034407789021,0.022222222222222143,0.08333333333333326,0.06405693950177938,0.026755852842809347,2
2026-05-27,005930,321500.0,323000.0,306000.0,307000.0,33916688.0,294800.0,268850.0,220566.66666666666,69.35248707672261,21405.89326283132,20126.489104487067,1279.4041583442522,323855.54517500923,268850.0,213844.45482499077,0.4091913347592281,16346.757135408106,31960973.6,1.0611907016499647,0.041383989145183264,0.14190068811604983,0.3918694272328851,0.09652222428863677,0.026755852842809347,0.025041736227044975,0.11433756805807627,0.0,1
2026-05-18,000660,1780000.0,1897000.0,1731000.0,1840000.0,6481608.0,1888000.0,1503350.0,1143800.0,72.5920532057606,221946.13512317976,189346.53534494148,32599.599778238276,2089903.075177345,1503350.0,916796.9248226552,0.7803280342932051,111316.31596462466,5119696.7,1.2660140589968933,-0.025423728813559365,0.22393321581800651,0.608672844902955,0.25586190840456324,0.011544804837823053,-0.06882591093117407,-0.021276595744680882,-0.05163043478260865,0
2026-05-19,000660,1791000.0,1823000.0,1740000.0,1745000.0,4575855.0,1870000.0,1534200.0,1157983.3333333333,64.9596265587609,208437.22438955074,193164.67315386335,15272.551235687395,2103180.702660468,1534200.0,965219.297339532,0.7417295041852013,110508.00768143719,5169577.7,0.885150638126592,-0.0668449197860963,0.13740059966106122,0.5069301515565856,0.21887628731586495,-0.05163043478260865,-0.1142131979695431,-0.049046321525885506,0.0,1
2026-05-20,000660,1743000.0,1778000.0,1690000.0,1745000.0,5535123.0,1823800.0,1563150.0,1171250.0,64.9596265587609,195477.9669841202,193627.33191991475,1850.6350642054458,2112840.558405363,1563150.0,1013459.4415946369,0.7033113372425718,108900.29284704883,5258933.15,1.052518227960361,-0.04320649193990567,0.11633560438857438,0.4898612593383138,0.16674663340050544,0.0,-0.040681693238042826,-0.1169028340080972,0.11174785100286533,2
2026-05-21,000660,1801000.0,1954000.0,1796000.0,1940000.0,5096690.0,1817800.0,1598950.0,1187733.3333333333,71.97433801484986,198652.58905127132,194632.38334618608,4020.2057050852454,2148887.9874131265,1598950.0,1049012.0125868735,0.6878739015142769,116050.27192940249,5337919.65,0.9548083025191283,0.06722411706458353,0.21329622564808148,0.633363268971711,0.13687107164076417,0.11174785100286533,0.05434782608695654,-0.015228426395939132,0.0005154639175257714,1
2026-05-22,000660,1942000.0,1952000.0,1912000.0,1941000.0,3135190.0,1842200.0,1634850.0,1203333.3333333333,72.00528847812126,198955.75347366882,195497.05737168263,3458.696101986192,2175598.1021695775,1634850.0,1094101.8978304225,0.6615262588856194,110618.10964873087,5349933.2,0.5860241395163588,0.053631527521441846,0.18726488668685204,0.6130193905817176,0.12683120775606316,0.0005154639175257714,0.11232091690544421,0.0670698185816383,0.057187017001545604,2
2026-05-26,000660,2008000.0,2087000.0,2006000.0,2052000.0,4903591.0,1884600.0,1676200.0,1220566.6666666667,75.26998831810396,205780.6742778418,197553.7807529145,8226.89352492732,2211715.3032360515,1676200.0,1140684.6967639485,0.6389634927049892,113145.38753096438,5327919.2,0.9203576135313764,0.08882521489971351,0.22419758978642168,0.6811863342163476,0.12432883904068737,0.057187017001545604,0.1759312320916906,0.11521739130434772,0.09307992202729043,2
