ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-06-11,299000,매수,56.7,27.4,15.8,56.7,51.8,44%,355473.0557948161,255176.94420518389,21408.830795643426
000660,SK하이닉스,2026-06-11,2101000,매수,49.2,34.2,16.5,49.2,56.8,55%,2461848.721482032,1664051.278517968,158754.96840065083
005380,현대차,2026-06-11,597000,매수,61.3,27.8,10.9,61.3,43.0,9%,762888.5785221303,579911.4214778697,51981.38537918853
035420,NAVER,2026-06-11,224000,매수,48.8,35.8,15.4,48.8,48.4,49%,286281.7576039387,164708.2423960613,22883.621100088603
051910,LG화학,2026-06-11,316500,매수,63.1,15.6,21.3,63.1,36.7,9%,392185.201452617,308914.798547383,22589.47287047905
006400,삼성SDI,2026-06-11,498500,매수,54.2,31.3,14.4,54.2,35.3,5%,712854.5976077038,486645.4023922962,44583.2314128944
035720,카카오,2026-06-11,39300,매수,35.8,30.0,34.1,35.8,38.8,21%,45046.58310448428,37733.41689551572,2342.518468152261
000270,기아,2026-06-11,156000,매수,37.9,27.9,34.2,37.9,45.5,22%,179201.45868116207,149378.54131883793,9833.502495015427
105560,KB금융,2026-06-11,151500,매수,43.1,25.3,31.5,43.1,45.8,31%,165285.46617517062,145174.53382482938,7400.722211269465
055550,신한지주,2026-06-11,96900,매수,50.7,24.5,24.8,50.7,49.5,53%,103255.19033409758,89594.80966590242,4716.793953419624
012330,현대모비스,2026-06-11,576000,매수,48.4,38.7,12.9,48.4,46.2,25%,794980.3071775005,504919.6928224996,66336.6258200658
028260,삼성물산,2026-06-11,410000,매도,45.6,45.6,15.1,39.2,50.3,40%,498028.69552136457,352071.30447863543,42831.374259791126
066570,LG전자,2026-06-11,226000,매수,66.5,24.6,9.0,66.5,48.6,38%,367327.92299025983,140032.07700974017,36618.05380921457
003550,LG,2026-06-11,107500,매수,62.7,25.0,12.3,62.7,45.6,27%,150742.002629627,91417.997370373,13623.449085553695
017670,SK텔레콤,2026-06-11,100000,매수,51.1,29.6,19.3,51.1,47.6,33%,116643.62492375668,91846.37507624332,8730.308238439335
030200,KT,2026-06-11,60000,매도,44.8,44.8,30.2,25.0,62.5,94%,60640.27667227796,50519.72332772204,2211.7404361942727
096770,SK이노베이션,2026-06-11,103200,매수,46.4,28.1,25.5,46.4,30.3,4%,131453.5387556118,102096.4612443882,6685.19652017307
011200,HMM,2026-06-11,18850,관망,39.2,32.6,39.2,28.2,39.8,13%,20669.6709384667,18569.3290615333,714.9684430518503
010950,S-Oil,2026-06-11,113100,관망,40.8,31.1,40.8,28.2,51.6,74%,115982.57064931096,104747.42935068904,6250.365078589253
086790,하나금융지주,2026-06-11,114800,매수,40.5,28.5,31.1,40.5,45.2,27%,125276.98260442208,110963.01739557792,5849.0243311509485
069500,KODEX 200,2026-06-11,123850,매도,44.8,44.8,22.2,33.0,52.1,42%,142661.7972860306,110222.2027139694,6998.759414362293
229200,KODEX 코스닥150,2026-06-11,17635,매수,37.9,32.1,30.0,37.9,45.1,33%,20627.4371309432,16129.0628690568,1077.957344274089
305720,KODEX 2차전지산업,2026-06-11,16375,매도,41.1,41.1,26.9,32.0,34.8,6%,21443.307688143213,16026.192311856788,1079.0521899764628
091160,KODEX 반도체,2026-06-11,158000,관망,36.7,28.2,36.7,35.0,56.0,58%,171895.43243615472,139070.06756384528,9861.37537107393
139220,KODEX IT,2026-06-11,8015,매수,50.4,6.9,42.7,50.4,38.1,9%,10173.325303578584,7803.674696421416,569.1070125487528
114800,KODEX 인버스,2026-06-11,1031,매도,63.6,63.6,15.9,20.5,42.9,47%,1185.262966223595,896.0370337764051,63.12843273049082
252670,KODEX 200선물인버스2X,2026-06-11,93,매도,62.5,62.5,12.2,25.3,39.6,42%,126.76613149380162,68.63386850619838,13.043289584911252
148020,KODEX 헬스케어,2026-06-11,124705,매도,50.3,50.3,22.4,27.3,52.0,42%,143877.96609528665,110805.53390471336,7158.738973421415
364980,KODEX 수소경제,2026-06-11,10780,매수,50.3,27.2,22.5,50.3,35.9,7%,14130.348349680184,10541.651650319816,728.8375680825759
379800,KODEX 미국S&P500,2026-06-11,25245,관망,48.8,18.3,48.8,32.9,52.6,32%,26216.70392759159,24778.79607240841,284.205410408966
AAPL,애플,2026-06-11,295,관망,37.0,34.1,37.0,28.9,48.2,19%,318.2697428283722,290.2002583923309,7.303438282816164
MSFT,MS,2026-06-11,390,매수,40.2,26.4,33.4,40.2,36.9,3%,452.5344202821667,388.38315784283327,12.376812589377156
NVDA,엔비디아,2026-06-11,204,매수,39.5,34.4,26.1,39.5,45.1,16%,232.3633537812661,199.574437661605,8.364121685310183
GOOGL,알파벳,2026-06-11,357,관망,44.7,22.6,44.7,32.7,40.8,13%,406.41996564084,350.1962239343554,10.585306889310056
AMZN,아마존,2026-06-11,241,관망,40.1,29.9,40.1,30.1,36.8,10%,280.19721309768886,237.16978977096343,7.279173720676321
META,메타,2026-06-11,568,매도,39.2,39.2,37.1,23.7,35.0,-0%,644.9147814087627,568.6472181029561,18.83201313669486
TSLA,테슬라,2026-06-11,399,매도,37.4,37.4,28.2,34.3,46.3,23%,451.1529967393058,384.0210022841317,17.96259637386722
TSM,TSMC,2026-06-11,421,매도,39.3,39.3,30.3,30.4,52.8,55%,448.20224789455096,388.3897564999803,17.83075303551751
ASML,ASML,2026-06-11,1899,매도,35.2,35.2,33.0,31.7,69.3,110%,1857.3696018127905,1428.7903957458032,85.89013831590991
AMD,AMD,2026-06-11,488,매도,42.5,42.5,26.0,31.6,56.9,56%,552.5025816980371,405.2574219640722,32.3272252653548
