ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-07-09,278000,매수,60.5,21.0,18.6,60.5,42.0,4%,376395.1169546471,274004.88304535294,25701.003116970824
000660,SK하이닉스,2026-07-09,2186000,매수,64.7,13.0,22.3,64.7,46.3,20%,2976074.816279272,1992925.1837207284,234923.4604860463
005380,현대차,2026-07-09,445500,매수,46.6,15.8,37.5,46.6,29.7,16%,659742.0197179426,405607.9802820574,39287.74863400892
035420,NAVER,2026-07-09,184400,매수,64.6,10.3,25.1,64.6,34.8,17%,252671.6934152952,170528.30658470484,13896.820432076973
051910,LG화학,2026-07-09,251500,매수,54.2,10.6,35.2,54.2,31.8,14%,375712.1028489221,230537.89715107784,21173.17186346929
006400,삼성SDI,2026-07-09,401500,매수,56.6,13.6,29.8,56.6,32.0,0%,582255.2426739227,401044.7573260773,39535.99241391755
035720,카카오,2026-07-09,33650,매수,43.7,21.3,35.1,43.7,34.5,24%,41600.000000000015,31199.999999999985,2075.542242879042
000270,기아,2026-07-09,144800,매수,36.9,35.5,27.7,36.9,44.7,36%,173314.97982061876,128715.02017938126,9724.340278605478
105560,KB금융,2026-07-09,171400,매도,37.0,37.0,27.0,36.0,61.3,80%,177572.4411164314,146897.5588835686,8487.640144197776
055550,신한지주,2026-07-09,105000,관망,40.3,19.7,40.3,40.0,56.9,70%,111126.7502195315,90913.2497804685,5290.997056721478
012330,현대모비스,2026-07-09,465000,매수,63.1,15.2,21.7,63.1,35.5,19%,660224.5219134652,418375.4780865348,46301.09790629018
028260,삼성물산,2026-07-09,378500,매수,69.0,11.0,20.0,69.0,40.3,-2%,540253.3953788467,381946.60462115327,46639.99439212744
066570,LG전자,2026-07-09,178000,매수,75.3,9.5,15.1,75.3,39.5,11%,243518.9535288385,170011.04647116154,21674.95776039852
003550,LG,2026-07-09,101300,매수,43.4,13.8,42.8,43.4,45.0,39%,116131.27907419096,91678.72092580904,8011.343260928606
017670,SK텔레콤,2026-07-09,86700,관망,52.2,26.7,52.2,21.1,38.6,28%,103786.68200551676,80063.31799448324,5293.903640045654
030200,KT,2026-07-09,58000,관망,58.3,22.9,58.3,18.9,63.3,111%,57277.96572809453,50742.03427190547,2132.784998077062
096770,SK이노베이션,2026-07-09,99000,관망,44.7,20.1,44.7,35.1,45.4,46%,112404.26074140912,87785.73925859087,6529.311847083508
011200,HMM,2026-07-09,19320,관망,51.4,15.9,51.4,32.6,48.3,42%,21838.51698910652,17497.48301089348,894.7266698094927
010950,S-Oil,2026-07-09,133500,관망,41.2,36.6,41.2,22.2,69.8,107%,130754.44749236836,90755.55250763164,7218.667224944419
086790,하나금융지주,2026-07-09,122600,관망,47.8,22.0,47.8,30.1,52.9,57%,132742.40368156767,109317.59631843232,6113.467929101301
069500,KODEX 200,2026-07-09,117700,매수,66.3,15.9,17.8,66.3,40.7,3%,152947.58568888996,116653.41431111004,9066.83001772525
229200,KODEX 코스닥150,2026-07-09,13770,매수,47.6,33.9,18.5,47.6,32.5,6%,19039.86324299209,13446.136757007906,1029.1912461298332
305720,KODEX 2차전지산업,2026-07-09,12850,매수,43.8,25.2,31.0,43.8,31.3,11%,18747.97044545711,12150.029554542887,992.2420132561364
091160,KODEX 반도체,2026-07-09,140600,매수,57.9,12.7,29.4,57.9,40.7,6%,195198.1047794456,137316.89522055443,12291.337940458285
139220,KODEX IT,2026-07-09,7040,매수,41.1,28.2,30.7,41.1,34.7,5%,9710.861414434188,6912.638585565812,598.5189656333396
114800,KODEX 인버스,2026-07-09,1043,매도,58.9,58.9,26.9,14.3,56.4,99%,1046.1194839597276,816.6805160402723,68.31282939635956
252670,KODEX 200선물인버스2X,2026-07-09,90,매수,42.3,30.1,27.7,42.3,53.3,96%,91.25430981151536,56.44569018848463,12.066293300305942
148020,KODEX 헬스케어,2026-07-09,118425,매수,49.0,25.0,26.0,49.0,40.5,2%,153947.41309087322,117584.08690912678,9146.652359677648
364980,KODEX 수소경제,2026-07-09,8580,매수,53.5,16.7,29.7,53.5,32.4,7%,12263.49598191458,8281.50401808542,672.5568674480965
379800,KODEX 미국S&P500,2026-07-09,25585,관망,85.3,8.3,85.3,6.4,47.9,25%,26348.916721544738,25336.583278455262,293.38707606916927
AAPL,애플,2026-07-09,316,관망,65.1,16.1,65.1,18.9,63.9,95%,318.1345069722281,275.69749376019377,8.347899616326922
MSFT,MS,2026-07-09,384,관망,63.8,19.3,63.8,16.9,47.1,57%,404.5313471533904,357.7206425927033,12.091809975975533
NVDA,엔비디아,2026-07-09,202,관망,54.0,25.9,54.0,20.0,49.7,56%,212.53891741661408,190.3100800809445,7.019090824865643
GOOGL,알파벳,2026-07-09,358,관망,60.7,21.7,60.7,17.7,48.2,53%,376.3036875479378,339.38531391690594,11.057486009190445
AMZN,아마존,2026-07-09,247,관망,70.7,12.2,70.7,17.1,52.7,84%,250.5552069813239,229.0937905162347,7.805452388499347
META,메타,2026-07-09,631,관망,52.1,17.7,52.1,30.1,60.0,105%,626.6175057338445,532.6134696079524,24.744196873903903
TSLA,테슬라,2026-07-09,406,관망,54.6,22.4,54.6,23.0,50.9,62%,428.7381765422608,370.3958139362549,19.40948709315226
TSM,TSMC,2026-07-09,436,관망,61.9,23.0,61.9,15.1,50.6,46%,471.9614051347164,407.627098893604,20.447037909246013
ASML,ASML,2026-07-09,1804,관망,48.7,25.1,48.7,26.3,51.7,38%,1972.094108739687,1700.6778883306254,94.03487548749756
AMD,AMD,2026-07-09,546,관망,52.8,28.3,52.8,18.9,55.9,70%,578.0407871712666,473.3172023306865,37.45917218354214
