ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-07-03,309500,관망,41.1,40.7,41.1,18.2,48.1,29%,371649.1685538225,283700.8314461775,25556.02870143031
000660,SK하이닉스,2026-07-03,2425000,매도,56.9,56.9,21.0,22.1,51.6,47%,3019536.8499172674,1896363.1500827328,237218.4677718552
005380,현대차,2026-07-03,492000,매수,37.3,32.3,30.4,37.3,34.9,22%,687535.8159315228,436564.1840684773,41604.46593340871
035420,NAVER,2026-07-03,195800,관망,52.8,11.6,52.8,35.6,39.4,22%,270498.4288650747,174311.5711349253,16033.985284782362
051910,LG화학,2026-07-03,281500,관망,41.8,20.8,41.8,37.4,38.4,22%,375004.15259302943,255345.84740697057,22885.0730123958
006400,삼성SDI,2026-07-03,467500,매수,45.3,40.6,14.1,45.3,40.1,18%,568348.6799208596,445251.3200791403,41702.11773302954
035720,카카오,2026-07-03,35500,관망,58.7,23.3,58.7,18.0,40.2,34%,42421.23065151195,32003.76934848805,2160.949574680203
000270,기아,2026-07-03,152000,관망,48.9,38.4,48.9,12.7,50.0,50%,174493.61290347792,129076.38709652208,8678.840241689993
105560,KB금융,2026-07-03,170100,관망,37.4,28.0,37.4,34.5,61.5,93%,171876.24760536378,145123.75239463622,8772.335834862286
055550,신한지주,2026-07-03,107300,매도,48.3,48.3,20.4,31.3,62.3,99%,107405.52637955338,91114.47362044662,5422.014037709196
012330,현대모비스,2026-07-03,494000,매수,38.6,27.7,33.7,38.6,38.2,22%,673274.9890829695,444275.0109170305,49141.66090711262
028260,삼성물산,2026-07-03,433500,매도,44.0,44.0,37.0,19.0,47.5,31%,536226.2374479516,386723.7625520485,49879.8895195535
066570,LG전자,2026-07-03,191000,관망,48.7,20.2,48.7,31.1,42.1,18%,259598.71170428116,175671.28829571887,23269.68514139804
003550,LG,2026-07-03,101100,관망,45.9,40.9,45.9,13.3,44.7,33%,118922.77339782048,92427.22660217952,8723.299699304413
017670,SK텔레콤,2026-07-03,86400,매수,43.2,14.2,42.7,43.2,35.0,16%,109722.67631846198,81967.32368153802,5873.148777563596
030200,KT,2026-07-03,53700,관망,55.0,11.9,55.0,33.1,47.2,46%,57830.30182531521,50209.69817468479,1994.8485167230988
096770,SK이노베이션,2026-07-03,95000,관망,44.6,32.7,44.6,22.8,39.9,26%,113550.8565444752,88449.1434555248,6390.670631895243
011200,HMM,2026-07-03,19170,관망,57.9,25.9,57.9,16.2,47.3,43%,21792.99281670623,17199.00718329377,941.7397761773564
010950,S-Oil,2026-07-03,110200,관망,39.7,36.6,39.7,23.7,52.5,63%,117700.56096025968,97199.43903974032,6672.204058452605
086790,하나금융지주,2026-07-03,125600,관망,48.1,27.6,48.1,24.3,57.7,76%,131300.7933741302,107509.2066258698,6342.431426223016
069500,KODEX 200,2026-07-03,131010,관망,39.2,33.9,39.2,26.9,49.1,37%,151852.9359162732,118641.5640837268,8870.855780992724
229200,KODEX 코스닥150,2026-07-03,15230,매도,43.1,43.1,21.0,35.8,38.0,10%,18646.71902162949,14853.78097837051,1030.540104034301
305720,KODEX 2차전지산업,2026-07-03,14395,매도,35.7,35.7,31.5,32.8,37.6,17%,18605.450415485066,13527.049584514933,1057.683525830599
091160,KODEX 반도체,2026-07-03,157225,관망,54.3,24.2,54.3,21.6,46.7,27%,191632.52193599092,144577.97806400905,12196.103684067271
139220,KODEX IT,2026-07-03,7950,관망,42.5,34.7,42.5,22.8,42.7,29%,9562.823391115224,7290.676608884776,615.176449836153
114800,KODEX 인버스,2026-07-03,943,매도,49.6,49.6,18.7,31.7,47.0,53%,1060.8722457324038,810.1277542675962,65.30309352230486
252670,KODEX 200선물인버스2X,2026-07-03,75,매도,50.3,50.3,10.6,39.1,44.5,49%,97.68937948808812,53.2106205119119,11.78959852332037
148020,KODEX 헬스케어,2026-07-03,131880,관망,42.8,34.2,42.8,23.0,49.0,37%,152832.31821928185,119590.18178071817,8983.93638350816
364980,KODEX 수소경제,2026-07-03,9755,관망,43.1,24.5,43.1,32.4,39.8,22%,12162.77178585041,9090.22821414959,718.1420335382542
379800,KODEX 미국S&P500,2026-07-03,25970,관망,93.4,4.2,93.4,2.4,55.8,67%,26352.684401126106,25201.815598873894,282.53642779570765
AAPL,애플,2026-07-02,308,관망,52.6,10.0,52.6,37.4,60.3,91%,311.8696414070886,277.73535737220834,8.735632087921633
MSFT,MS,2026-07-02,390,관망,65.1,20.0,65.1,15.0,49.8,55%,423.9745176117717,349.93647481986886,13.06390933227687
NVDA,엔비디아,2026-07-02,194,관망,50.2,23.7,50.2,26.1,41.2,17%,216.73137538320245,190.23862431162172,7.1228285265626425
GOOGL,알파벳,2026-07-02,359,관망,60.1,23.8,60.1,16.0,49.5,54%,378.0065182903388,339.0372652789971,11.509263633049766
AMZN,아마존,2026-07-02,242,관망,58.4,23.3,58.4,18.2,48.7,60%,252.33519830738328,228.1567999836324,8.213773011574121
META,메타,2026-07-02,582,관망,54.2,15.6,54.2,30.2,49.7,58%,617.363851687515,535.6537752656101,22.521755609828663
TSLA,테슬라,2026-07-02,393,관망,43.3,27.9,43.3,28.8,46.8,40%,428.4124437227188,369.90155163860936,19.617188321676437
TSM,TSMC,2026-07-02,434,관망,40.9,23.8,40.9,35.3,50.2,45%,471.7182804862216,403.12058059776285,21.437822505872106
