date,close,high,low,open,volume,ticker,usdkrw,vix,nasdaq,sp500,gold_usd,usdkrw_ret1d,nasdaq_ret1d,vix_ma5,ma5,ma20,ma60,rsi14,macd,macd_signal,macd_hist,bb_upper,bb_mid,bb_lower,bb_width,atr14,vol_ma20,vol_ratio,close_ma5_ratio,close_ma20_ratio,close_ma60_ratio,ma5_ma20_ratio,ret_1d,ret_3d,ret_5d,asset_type,next_ret,label
2024-10-10,227.3358154296875,227.7923994519787,225.47973405841245,226.0851959438118,28183500,AAPL,1343.02001953125,20.93000030517578,18282.05078125,5780.0498046875,2620.60009765625,0.001274843893508626,-0.0005231007327147763,21.011999893188477,224.88221130371093,223.99040145874022,221.15857899983723,55.52978368024529,1.1105845246566162,1.0359702905035566,0.07461423415305957,232.03463825473946,223.99040145874022,215.94616466274098,0.07182662063741169,4.554808966261505,57640270.0,0.4889550309184881,0.010910618993615673,0.014935523795485128,0.027931253934557088,0.0039814645590292574,-0.00217825702468466,0.03315436451043041,0.014933377004313408,us_stocks,-0.0065053414127963505,1
2024-10-11,225.85691833496094,227.70307961960657,225.6484741750507,227.5938974682738,31759200,AAPL,1349.739990234375,20.459999084472656,18342.939453125,5815.02978515625,2657.60009765625,0.005003626606750355,0.003330516505153147,21.261999893188477,225.03110046386718,224.24102325439452,221.2186154683431,53.01378264296215,1.0913986609409392,1.0470559645910331,0.04434269634990606,232.18935114300237,224.24102325439452,216.29269536578667,0.07089093488117665,4.376223000425389,57389900.0,0.5533935413722624,0.003669794394603576,0.0072060636234845266,0.020967054950588482,0.0035233392980744682,-0.0065053414127963505,0.007884121807931965,0.0033069949097033202,us_stocks,0.016479865670019356,2
2024-10-14,229.57901000976562,230.0058033150611,226.89910245149323,226.99834931201846,39882100,AAPL,1348.3299560546875,19.700000762939453,18502.689453125,5859.85009765625,2647.800048828125,-0.0010446709661782183,0.00870907306913593,20.67400016784668,226.9388000488281,224.98445053100585,221.338538869222,58.15285214021446,1.3608484037584958,1.1098144524245257,0.2510339513339701,231.94847883096747,224.98445053100585,218.02042223104422,0.06190675207575637,4.359984570402157,56416135.0,0.7069271937895072,0.011634017454791534,0.020421675666543848,0.03723016869381479,0.008686598176939064,0.016479865670019356,0.007667566527119973,0.043348826243059024,us_stocks,0.011024619010494119,2
2024-10-15,232.1100311279297,235.72294688412148,230.64103225198252,231.87181141001133,64751400,AAPL,1357.27001953125,20.639999389648438,18315.58984375,5815.259765625,2661.39990234375,0.00663047159667185,-0.010112022354858197,20.518000030517577,228.5427734375,225.831103515625,221.50642929077148,61.256062057163575,1.758352326745353,1.239522027288691,0.5188302994566618,231.87658576142536,225.831103515625,219.78562126982462,0.05353985480022323,4.487409734970279,57377740.0,1.1285108127298147,0.01560870920036006,0.02780364402669755,0.04787040209672133,0.012007513046967677,0.011024619010494119,0.02100071952683047,0.0357885718569686,us_stocks,-0.008851818843336523,1
2024-10-16,230.05543518066406,230.3929017691756,228.12986736523644,229.87678174389526,34082200,AAPL,1363.1800537109375,19.579999923706055,18367.080078125,5842.47021484375,2674.0,0.0043543540302530825,0.002811279069593775,20.261999893188477,228.98744201660156,226.3814781188965,221.6227264404297,57.52673591633409,1.8858494292837236,1.3687875076876976,0.5170619215960259,231.83151934519447,226.3814781188965,220.93143689259853,0.048149179620035745,4.451177879807634,56087105.0,0.6076655231180144,0.004663981372328152,0.016229053243649094,0.03804983755806757,0.011511382995460506,-0.008851818843336523,0.018589277125779402,0.00975869059186385,us_stocks,0.0015963480057223922,1
2024-10-17,230.4226837158203,232.11004699556463,228.8048220166126,231.69315867439417,32993800,AAPL,1364.199951171875,19.110000610351562,18373.609375,5841.47021484375,2691.0,0.0007481751645066481,0.000355489105901885,19.897999954223632,229.6048156738281,226.54425811767578,221.8520517985026,58.018724750702695,1.9935453394412548,1.493739074038409,0.4998062654028457,232.26612786044373,226.54425811767578,220.82238837490783,0.05051436562824551,4.36932410117509,54397730.0,0.6065289856764243,0.0035620683285408905,0.017119946585138823,0.03863219586133004,0.013509755584105498,0.0015963480057223922,0.0036748730034981136,0.01357845124534518,us_stocks,0.012276553423913317,2
2024-10-18,233.25148010253906,234.4226930307779,232.26884075534687,234.4226930307779,46431500,AAPL,1370.050048828125,18.030000686645508,18489.55078125,5864.669921875,2713.699951171875,0.004288299271103746,0.006310213953266919,19.412000274658205,231.08372802734374,226.8817283630371,222.1458735148112,61.698966914972026,2.2808629826425886,1.651163855759245,0.6296991268833436,233.30677763586337,226.8817283630371,220.45667909021083,0.056637873126084856,4.342944473588126,40785310.0,1.1384368538574305,0.009380807959523674,0.02807520810714914,0.04999240549470496,0.01852066137993691,0.012276553423913317,0.004917706352726592,0.03274002772238083,us_stocks,0.006297833056365443,1
2024-10-21,234.720458984375,235.08771628667242,232.7055644739604,232.7055644739604,36254500,AAPL,1369.010009765625,18.3700008392334,18540.009765625,5853.97998046875,2723.10009765625,-0.0007591248680218765,0.0027290541004474367,19.14600028991699,232.1120178222656,227.3785026550293,222.45641174316407,63.488929226698346,2.597160158258589,1.8403631162591139,0.7567970419994752,234.56905078650175,227.3785026550293,220.18795452355687,0.06324738748395829,4.202887854954118,39890735.0,0.9088451240620159,0.011237854836567474,0.03228957990142378,0.05513011355847253,0.020817777898809675,0.006297833056365443,0.02027782477752571,0.022395117804500764,us_stocks,-0.0026218516457513497,1
2024-10-22,234.1050567626953,234.4623787465114,230.86931862526646,232.14971356587586,38846600,AAPL,1376.5,18.200000762939453,18579.76953125,5851.2001953125,2744.199951171875,0.005471099685865122,0.00214453854812513,18.658000564575197,232.51102294921876,227.79984283447266,222.7520668029785,62.17794355937634,2.7662821538549736,2.0255469237782857,0.7407352300766878,235.51119865668545,227.79984283447266,220.08848701225986,0.0677029073089935,4.17776303382229,39655260.0,0.9796077493881014,0.006855734378772738,0.02767874573471163,0.0509669343259489,0.020681226361378258,-0.0026218516457513497,0.01598094852248333,0.008595171975424254,us_stocks,-0.021622951278063796,0
2024-10-23,229.0430145263672,233.3904297884605,226.06533615950997,232.33831918874512,52287000,AAPL,1376.6300048828125,19.239999771118164,18276.650390625,5797.419921875,2714.39990234375,9.444597371044416e-05,-0.016314472583482398,18.590000534057616,232.30853881835938,228.01770935058593,222.95410130818684,52.563285704338504,2.4634509218219307,2.1131277233870147,0.350323198434916,235.61011632844773,228.01770935058593,220.42530237272413,0.06659488861181553,4.453617145919652,40154175.0,1.3021560024580259,-0.014056841425641675,0.004496603262533538,0.027310164659243963,0.018817965850082885,-0.021622951278063796,-0.018042610380529234,-0.00440076824745228,us_stocks,-0.0008232869080260219,1
