ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-07-06,318000,관망,38.6,27.3,38.6,34.1,50.0,37%,370517.3824682229,287082.6175317771,25302.026651328146
000660,SK하이닉스,2026-07-06,2343000,매도,40.4,40.4,34.4,25.1,49.5,37%,2985835.8777410244,1973264.122258976,234917.1486452941
005380,현대차,2026-07-06,502000,관망,51.6,26.7,51.6,21.6,37.5,28%,678065.5362581387,432334.4637418613,40632.71836673666
035420,NAVER,2026-07-06,196600,매수,41.9,16.5,41.6,41.9,39.9,24%,259970.26238372503,176599.73761627497,15388.70062158362
051910,LG화학,2026-07-06,276500,매수,45.2,14.3,40.5,45.2,37.2,21%,375015.2076448633,250884.79235513668,22250.42494008181
006400,삼성SDI,2026-07-06,451500,매수,49.2,25.0,25.8,49.2,38.1,10%,570334.3601542205,438115.6398457795,41259.10932352743
035720,카카오,2026-07-06,35600,관망,52.8,26.9,52.8,20.3,40.7,36%,42275.548532288965,31849.45146771104,2110.167462203045
000270,기아,2026-07-06,160700,매도,44.1,44.1,37.4,18.4,56.2,68%,175286.53619796177,129213.46380203824,8923.208795854995
105560,KB금융,2026-07-06,170900,관망,37.8,29.1,37.8,33.1,62.1,91%,173474.01371036176,145465.98628963824,8752.883275229266
055550,신한지주,2026-07-06,107700,매수,41.3,22.3,36.4,41.3,62.7,95%,108652.25704885612,90927.74295114388,5334.727320729967
012330,현대모비스,2026-07-06,515000,관망,51.5,31.9,51.5,16.5,42.8,33%,667207.0705142703,440642.9294857296,48417.25655660458
028260,삼성물산,2026-07-06,449500,관망,48.4,31.9,48.4,19.7,50.0,40%,534506.3179646591,392543.6820353409,48209.89741101396
066570,LG전자,2026-07-06,185700,관망,44.8,14.0,44.8,41.2,40.6,13%,250800.8583592173,176239.1416407827,22543.27905986961
003550,LG,2026-07-06,101200,매도,47.3,47.3,39.1,13.6,44.8,35%,117860.51481025624,92219.48518974376,8428.77829221124
017670,SK텔레콤,2026-07-06,86200,관망,48.5,17.8,48.5,33.7,34.7,18%,108363.50028611512,81276.49971388488,5725.066722023339
030200,KT,2026-07-06,54500,관망,70.0,10.3,70.0,19.7,50.7,56%,57865.49472545834,50234.50527454166,1923.787908385735
096770,SK이노베이션,2026-07-06,96500,관망,41.9,27.2,41.9,30.9,41.8,34%,113177.76201793533,88012.23798206467,6227.051301045583
011200,HMM,2026-07-06,19380,관망,61.5,22.6,61.5,15.9,49.0,47%,21797.537527282944,17267.462472717056,920.9012207361168
010950,S-Oil,2026-07-06,116900,관망,41.8,39.0,41.8,19.3,58.8,91%,118915.74126077555,96824.25873922445,6745.618054277418
086790,하나금융지주,2026-07-06,124800,관망,55.3,25.5,55.3,19.2,56.6,70%,131686.0248263178,108363.9751736822,6246.543467207086
069500,KODEX 200,2026-07-06,130125,매도,36.1,36.1,33.2,30.7,48.5,31%,150963.06527557704,120587.93472442296,8860.080368064673
229200,KODEX 코스닥150,2026-07-06,14730,매수,50.4,25.7,24.0,50.4,35.7,2%,18750.83826204288,14643.661737957116,1026.5729537461368
305720,KODEX 2차전지산업,2026-07-06,14105,관망,45.5,26.8,45.5,27.7,36.3,15%,18633.39144024931,13281.60855975069,1034.9918454141275
091160,KODEX 반도체,2026-07-06,153510,관망,41.8,24.3,41.8,33.9,45.0,15%,190075.7377165077,147294.76228349228,12165.310563776757
139220,KODEX IT,2026-07-06,8065,관망,41.0,39.5,41.0,19.6,44.2,33%,9554.323014639886,7322.676985360114,604.0924177049992
114800,KODEX 인버스,2026-07-06,949,매도,63.2,63.2,20.3,16.5,47.6,59%,1035.7535111781735,822.1464888218267,65.2100154135688
252670,KODEX 200선물인버스2X,2026-07-06,76,매도,43.9,43.9,28.2,27.9,45.2,55%,92.41829686447971,55.781703135520274,11.661770057368914
148020,KODEX 헬스케어,2026-07-06,130975,매도,44.1,44.1,36.7,19.1,48.4,31%,151911.44428683713,121577.55571316286,8965.083784686149
364980,KODEX 수소경제,2026-07-06,9535,매수,43.8,16.0,40.2,43.8,38.3,18%,12176.312984769183,8961.187015230817,701.8461739998074
379800,KODEX 미국S&P500,2026-07-06,26035,관망,84.4,10.9,84.4,4.7,56.9,71%,26378.97450778068,25209.525492219323,277.7123972388714
AAPL,애플,2026-07-06,312,관망,64.5,14.6,64.5,21.0,62.4,101%,312.2254356258999,277.5225624209751,8.625229970313663
MSFT,MS,2026-07-06,386,관망,62.2,21.1,62.2,16.7,48.2,53%,416.75848590202986,353.0215067737514,12.792915021003678
NVDA,엔비디아,2026-07-06,195,관망,45.4,26.4,45.4,28.1,42.0,21%,214.01977056771395,190.6392290660751,6.8676267011166
GOOGL,알파벳,2026-07-06,366,관망,66.2,15.3,66.2,18.6,53.7,72%,377.1089309998662,339.384068267712,11.440709043371289
