date,ticker,open,high,low,close,volume
2026-02-19,005930,188000.0,190900.0,187100.0,190000.0,27049388.0
2026-02-20,005930,190000.0,190300.0,188600.0,190100.0,24213880.0
2026-02-23,005930,194400.0,197600.0,190500.0,193000.0,26364684.0
2026-02-24,005930,193000.0,200000.0,192000.0,200000.0,28060617.0
2026-02-25,005930,202500.0,206000.0,201000.0,203500.0,26987996.0
2026-02-26,005930,206500.0,219000.0,206000.0,218000.0,30095763.0
2026-02-27,005930,210000.0,223000.0,210000.0,216500.0,51774768.0
2026-03-03,005930,209500.0,212500.0,195100.0,195100.0,54879010.0
2026-03-04,005930,184200.0,195900.0,171900.0,172200.0,89427954.0
2026-03-05,005930,195000.0,199700.0,188100.0,191600.0,53959129.0
2026-03-06,005930,186100.0,189700.0,181000.0,188200.0,29522650.0
2026-03-09,005930,173500.0,175500.0,167300.0,173500.0,43066020.0
2026-03-10,005930,187600.0,191500.0,184300.0,187900.0,33530170.0
2026-03-11,005930,193000.0,194800.0,187700.0,190000.0,24311356.0
2026-03-12,005930,186600.0,190000.0,185900.0,187900.0,20440753.0
2026-03-13,005930,180000.0,186200.0,179900.0,183500.0,19566331.0
2026-03-16,005930,184600.0,189000.0,183600.0,188700.0,19747901.0
2026-03-17,005930,198000.0,198000.0,193100.0,193900.0,20300082.0
2026-03-18,005930,200500.0,209000.0,199700.0,208500.0,25148481.0
2026-03-19,005930,199900.0,205000.0,199600.0,200500.0,19884483.0
2026-03-20,005930,202000.0,202500.0,199000.0,199400.0,35279762.0
2026-03-23,005930,190500.0,191200.0,186300.0,186300.0,30268173.0
2026-03-24,005930,195500.0,196000.0,185500.0,189700.0,25458914.0
2026-03-25,005930,193700.0,196400.0,189000.0,189000.0,22995904.0
2026-03-26,005930,185500.0,185900.0,178900.0,180100.0,32074131.0
2026-03-27,005930,172100.0,181700.0,172000.0,179700.0,29138966.0
2026-03-30,005930,171000.0,176650.0,170600.0,176300.0,22269147.0
2026-03-31,005930,170000.0,174700.0,167000.0,167200.0,38659593.0
2026-04-01,005930,179000.0,190800.0,178000.0,189600.0,32390251.0
2026-04-02,005930,192600.0,193600.0,175000.0,178400.0,38615231.0
2026-04-03,005930,184200.0,187200.0,182700.0,186200.0,20194447.0
2026-04-06,005930,190900.0,194600.0,190100.0,193100.0,20635958.0
2026-04-07,005930,202000.0,202500.0,192400.0,196500.0,30848053.0
2026-04-08,005930,214000.0,214500.0,207500.0,210500.0,35890973.0
2026-04-09,005930,207000.0,207500.0,202000.0,204000.0,42320839.0
2026-04-10,005930,208500.0,211000.0,205500.0,206000.0,18244459.0
2026-04-13,005930,198200.0,203000.0,198200.0,201000.0,19603415.0
2026-04-14,005930,208000.0,210000.0,205500.0,206500.0,23672078.0
2026-04-15,005930,215000.0,215500.0,210000.0,211000.0,24092884.0
2026-04-16,005930,212000.0,218000.0,210500.0,217500.0,21499788.0
2026-04-17,005930,217000.0,218000.0,215000.0,216000.0,18079322.0
2026-04-20,005930,214500.0,219000.0,213000.0,214500.0,17107741.0
2026-04-21,005930,218000.0,220000.0,216000.0,219000.0,16752132.0
2026-04-22,005930,218500.0,222500.0,215500.0,217500.0,16823480.0
2026-04-23,005930,223000.0,229500.0,216000.0,224500.0,34525485.0
2026-04-24,005930,224000.0,225000.0,216500.0,219500.0,19626666.0
2026-04-27,005930,220000.0,226000.0,218500.0,224500.0,22870374.0
2026-04-28,005930,224000.0,226000.0,221500.0,222000.0,18444490.0
2026-04-29,005930,219500.0,228000.0,218500.0,226000.0,20363756.0
2026-04-30,005930,229000.0,230000.0,220500.0,220500.0,22161975.0
2026-05-04,005930,228000.0,232500.0,224000.0,232500.0,32920816.0
2026-05-06,005930,254000.0,270000.0,251000.0,266000.0,53097996.0
2026-05-07,005930,272000.0,277000.0,260000.0,271500.0,41404687.0
2026-05-08,005930,260000.0,270000.0,260000.0,268500.0,25875880.0
2026-05-11,005930,284500.0,288500.0,280000.0,285500.0,36031094.0
2026-05-12,005930,290000.0,291500.0,266000.0,279000.0,41211149.0
2026-05-13,005930,264000.0,285500.0,262000.0,284000.0,35540134.0
2026-05-14,005930,282000.0,299500.0,282000.0,296000.0,39314752.0
2026-05-15,005930,291000.0,296500.0,266000.0,270500.0,38075487.0
2026-05-18,005930,269500.0,288500.0,262000.0,281000.0,33555214.0
2026-05-19,005930,274000.0,281500.0,266000.0,275500.0,30767569.0
2026-05-20,005930,278000.0,282500.0,263500.0,276000.0,35662077.0
2026-05-21,005930,291000.0,299500.0,287000.0,299500.0,36168689.0
2026-05-22,005930,300000.0,300500.0,292000.0,292500.0,18395274.0
2026-05-26,005930,298000.0,302000.0,297500.0,299000.0,23441371.0
2026-05-27,005930,321500.0,323000.0,306000.0,307000.0,33916688.0
2026-05-28,005930,307000.0,307000.0,307000.0,307000.0,0.0
2026-02-19,000660,905000.0,913000.0,888000.0,894000.0,3285109.0
2026-02-20,000660,892000.0,955000.0,881000.0,949000.0,5054333.0
2026-02-23,000660,980000.0,980000.0,941000.0,951000.0,3523887.0
2026-02-24,000660,952000.0,1005000.0,946000.0,1005000.0,4102382.0
2026-02-25,000660,1012000.0,1038000.0,1004000.0,1018000.0,3462525.0
2026-02-26,000660,1024000.0,1099000.0,1023000.0,1099000.0,4461976.0
2026-02-27,000660,1050000.0,1096000.0,1048000.0,1061000.0,6453062.0
2026-03-03,000660,1022000.0,1040000.0,939000.0,939000.0,6818327.0
2026-03-04,000660,894000.0,954000.0,846000.0,849000.0,9253420.0
2026-03-05,000660,976000.0,992000.0,927000.0,941000.0,6442459.0
2026-03-06,000660,912000.0,938000.0,885000.0,924000.0,3744322.0
2026-03-09,000660,851000.0,864000.0,808000.0,836000.0,7253621.0
2026-03-10,000660,915000.0,950000.0,899000.0,938000.0,5304897.0
2026-03-11,000660,954000.0,985000.0,941000.0,955000.0,3916098.0
2026-03-12,000660,938000.0,963000.0,928000.0,930000.0,3711742.0
2026-03-13,000660,891000.0,929000.0,884000.0,910000.0,3645102.0
2026-03-16,000660,925000.0,975000.0,924000.0,974000.0,3829496.0
2026-03-17,000660,1009000.0,1010000.0,969000.0,970000.0,3326240.0
2026-03-18,000660,1000000.0,1060000.0,999000.0,1056000.0,4347884.0
2026-03-19,000660,1008000.0,1043000.0,1003000.0,1013000.0,3347483.0
2026-03-20,000660,1023000.0,1026000.0,1002000.0,1007000.0,3426646.0
2026-03-23,000660,952000.0,963000.0,927000.0,933000.0,3911813.0
2026-03-24,000660,993000.0,994000.0,938000.0,986000.0,4352152.0
2026-03-25,000660,1016000.0,1042000.0,988000.0,995000.0,4463869.0
2026-03-26,000660,965000.0,973000.0,931000.0,933000.0,4660620.0
2026-03-27,000660,890000.0,934000.0,880000.0,922000.0,4520942.0
2026-03-30,000660,867000.0,884000.0,862000.0,873000.0,4498502.0
2026-03-31,000660,817000.0,852000.0,806000.0,807000.0,7194351.0
2026-04-01,000660,884000.0,905000.0,858000.0,893000.0,6255058.0
2026-04-02,000660,912000.0,914000.0,818000.0,830000.0,6127534.0
2026-04-03,000660,867000.0,886000.0,860000.0,876000.0,2927164.0
2026-04-06,000660,877000.0,901500.0,869000.0,886000.0,3100989.0
2026-04-07,000660,917000.0,933000.0,888000.0,916000.0,3619929.0
