ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치
005930,삼성전자,2026-05-26,299000,매수,36.3,31.5,32.2,36.3,67.3,81%
000660,SK하이닉스,2026-05-26,2052000,매수,51.2,16.1,32.7,51.2,75.2,85%
005380,현대차,2026-05-26,689000,매도,40.9,40.9,29.5,29.6,63.0,80%
035420,NAVER,2026-05-26,200000,관망,53.5,18.1,53.5,28.4,44.5,26%
051910,LG화학,2026-05-26,351000,매도,55.8,55.8,10.1,34.0,42.7,19%
006400,삼성SDI,2026-05-26,642000,매도,54.3,54.3,19.7,26.0,57.4,45%
035720,카카오,2026-05-26,41450,관망,64.5,13.1,64.5,22.4,36.7,18%
000270,기아,2026-05-26,167000,관망,42.6,34.3,42.6,23.1,53.7,65%
105560,KB금융,2026-05-26,157300,매수,46.5,26.9,26.5,46.5,52.1,52%
055550,신한지주,2026-05-26,96000,매수,55.8,15.2,29.0,55.8,48.8,37%
