ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-06-01,349000,매도,49.4,49.4,10.7,39.9,76.0,111%,337387.84649621835,229612.15350378165,18240.346185582057
000660,SK하이닉스,2026-06-01,2363000,매수,40.2,27.0,32.8,40.2,81.9,93%,2437649.270795344,1326850.729204656,124208.18169331204
005380,현대차,2026-06-01,750000,매수,55.2,18.2,26.6,55.2,68.7,92%,770892.34670439,521007.65329561,47423.875254209306
035420,NAVER,2026-06-01,271500,매도,54.2,54.2,20.4,25.5,76.8,143%,242557.06054910828,175982.93945089172,15683.663533732188
051910,LG화학,2026-06-01,363500,매도,58.0,58.0,13.0,28.9,49.1,38%,444320.9002543455,313829.0997456545,22543.75742123333
006400,삼성SDI,2026-06-01,652000,관망,41.7,30.2,41.7,28.0,55.8,52%,725429.994081288,573370.005918712,42204.79919670565
035720,카카오,2026-06-01,42700,매도,58.6,58.6,26.1,15.3,44.8,42%,47890.85613056464,38874.14386943536,2440.44441261683
000270,기아,2026-06-01,169900,매도,59.0,59.0,17.6,23.4,55.6,67%,180718.65753567973,147851.34246432027,9407.681214080629
105560,KB금융,2026-06-01,152100,매도,38.3,38.3,33.3,28.5,45.4,26%,162897.99248586403,148392.00751413597,5595.572888528067
055550,신한지주,2026-06-01,92600,관망,50.8,14.7,50.8,34.5,40.9,11%,100063.78842423802,91646.21157576198,3358.2799713971776
012330,현대모비스,2026-06-01,761000,매수,48.8,45.2,6.0,48.8,73.1,91%,798817.3639525296,379432.6360474704,61501.854653075054
028260,삼성물산,2026-06-01,455000,매도,40.8,40.8,21.4,37.8,66.4,83%,481658.5078718573,325691.4921281427,33495.24307259706
066570,LG전자,2026-06-01,380500,매도,67.5,67.5,19.8,12.7,82.6,126%,321664.450082521,95085.54991747896,28129.290142265138
003550,LG,2026-06-01,165800,매도,50.7,50.7,12.5,36.8,76.0,129%,147374.99203821554,84575.00796178445,12651.09803907893
017670,SK텔레콤,2026-06-01,112200,매도,48.6,48.6,26.1,25.3,68.0,119%,108786.5369024462,91233.4630975538,6061.029672047195
030200,KT,2026-06-01,53200,관망,49.4,24.8,49.4,25.8,32.8,16%,62926.81947049634,51383.18052950366,1820.0892384074464
096770,SK이노베이션,2026-06-01,116200,매수,53.4,8.3,38.3,53.4,40.4,23%,147404.8218241246,106855.1781758754,7019.095629304677
011200,HMM,2026-06-01,19770,관망,55.6,15.6,55.6,28.8,43.8,30%,21005.919973663924,19244.08002633608,666.018994704209
010950,S-Oil,2026-06-01,104700,관망,57.7,10.2,57.7,32.1,37.8,19%,128146.4423022693,99163.5576977307,5867.504460915444
086790,하나금융지주,2026-06-01,113900,매수,61.2,14.9,23.9,61.2,40.1,14%,131094.28926400671,111115.71073599329,4861.045031994588
069500,KODEX 200,2026-06-01,141395,관망,46.1,21.0,46.1,33.0,79.1,105%,139393.01646887412,101704.48353112588,5630.010280496625
229200,KODEX 코스닥150,2026-06-01,18410,매수,76.5,10.1,13.4,76.5,42.5,20%,20864.65915522537,17812.840844774626,894.6281736421928
305720,KODEX 2차전지산업,2026-06-01,19750,관망,58.9,6.9,58.9,34.2,49.8,39%,23211.042025740822,17529.957974259174,1001.2720686975376
091160,KODEX 반도체,2026-06-01,165410,매수,40.2,34.5,25.3,40.2,72.0,86%,171669.33827197825,127482.66172802176,7566.117693015805
139220,KODEX IT,2026-06-01,9020,매수,56.3,13.8,29.8,56.3,45.3,25%,10816.1132570417,8430.3867429583,553.4299572966162
114800,KODEX 인버스,2026-06-01,923,매수,93.4,2.8,3.9,93.4,22.1,2%,1302.5322927358875,913.8677072641124,57.06567584934838
252670,KODEX 200선물인버스2X,2026-06-01,76,매수,95.4,2.2,2.4,95.4,22.4,7%,155.88937586894826,70.01062413105176,13.244630926212976
148020,KODEX 헬스케어,2026-06-01,142415,매수,38.6,35.2,26.3,38.6,78.6,105%,140489.26174271904,102359.23825728096,5709.267850341613
364980,KODEX 수소경제,2026-06-01,13030,관망,47.6,8.1,47.6,44.3,51.3,40%,15157.953757335672,11615.546242664328,668.185104572637
379800,KODEX 미국S&P500,2026-06-01,25855,매수,67.4,11.2,21.5,67.4,80.3,86%,26208.91532459753,23766.584675402468,227.2950416814978
AAPL,애플,2026-06-02,315,매수,77.2,10.1,12.8,77.2,73.7,91%,318.5052445355664,282.92567587458984,5.91712203822223
MSFT,MS,2026-06-02,441,매수,70.2,10.7,19.1,70.2,60.2,87%,448.77634403481926,392.7133227132276,12.624459188797506
NVDA,엔비디아,2026-06-02,222,매수,63.6,15.9,20.5,63.6,58.8,65%,233.99411477441328,201.9468886435555,7.843256211711115
GOOGL,알파벳,2026-06-02,361,매수,83.4,4.9,11.7,83.4,40.4,-24%,408.4019311382663,370.8240698382963,9.92355032857314
AMZN,아마존,2026-06-02,256,매수,53.9,15.8,30.3,53.9,44.6,-7%,277.34404910967095,257.8799529655244,6.873911540123977
META,메타,2026-06-02,597,매수,44.5,11.6,43.9,44.5,40.7,17%,634.1997241003253,590.3452771203779,16.6457069607871
TSLA,테슬라,2026-06-02,423,매수,62.8,20.6,16.6,62.8,53.6,49%,455.6244780625527,392.7935212050254,15.036428861412595
TSM,TSMC,2026-06-02,446,매수,49.4,10.3,40.3,49.4,69.1,114%,438.7851638752308,383.810835270277,15.12947402120221
ASML,ASML,2026-06-02,1705,관망,45.0,19.5,45.0,35.5,66.7,104%,1696.1885332175275,1437.8274702004414,62.21268095755119
AMD,AMD,2026-06-02,521,매수,64.6,20.9,14.5,64.6,75.2,88%,542.1585745783715,371.01042871752696,26.002961877572197
