ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-06-30,334000,매도,35.9,35.9,30.8,33.3,53.0,50%,374763.22270401096,293686.77729598904,24437.980317125523
000660,SK하이닉스,2026-06-30,2650000,매도,62.6,62.6,18.8,18.6,58.8,69%,3013298.5693861595,1858201.4306138405,211892.7972535141
005380,현대차,2026-06-30,495000,관망,45.6,21.6,45.6,32.8,33.8,15%,740694.1553634149,450155.844636585,42112.496368353895
035420,NAVER,2026-06-30,199000,관망,58.0,6.5,58.0,35.5,40.2,18%,285869.8722729596,179980.12772704047,17345.40538072044
051910,LG화학,2026-06-30,280000,매수,67.1,9.3,23.7,67.1,37.9,10%,382763.8048697898,268886.1951302102,24489.822642700983
006400,삼성SDI,2026-06-30,487000,매수,42.2,26.8,31.0,42.2,42.5,27%,604974.6247283171,443425.37527168286,43521.44335886803
035720,카카오,2026-06-30,34550,관망,63.6,12.3,63.6,24.1,36.1,18%,43922.30371565659,32427.69628434341,2142.8519039246594
000270,기아,2026-06-30,138000,관망,62.9,12.8,62.9,24.3,37.6,15%,178258.55691809108,130861.4430819089,8688.592454800792
105560,KB금융,2026-06-30,159000,매도,47.2,47.2,35.1,17.8,52.2,52%,172044.76387152678,144835.23612847322,8403.272430979569
055550,신한지주,2026-06-30,95800,관망,45.0,28.7,45.0,26.2,47.0,29%,107250.61067576222,91079.38932423778,5012.520036173889
012330,현대모비스,2026-06-30,500000,관망,40.8,19.0,40.8,40.1,38.8,20%,750855.8759918937,439094.1240081063,51422.49318576106
028260,삼성물산,2026-06-30,468500,매도,50.2,50.2,25.7,24.1,52.1,48%,545609.3309924271,398040.6690075729,50891.40502578735
066570,LG전자,2026-06-30,203000,관망,39.8,22.7,39.8,37.5,45.0,31%,336851.7626555852,143108.2373444148,25382.528915792547
003550,LG,2026-06-30,97300,관망,62.5,10.8,62.5,26.6,40.7,19%,132065.5136607865,88894.48633921352,9419.678823346068
017670,SK텔레콤,2026-06-30,88400,관망,59.4,8.8,59.4,31.8,37.1,18%,117574.1970366129,81925.8029633871,6396.914085404872
030200,KT,2026-06-30,52900,관망,66.7,14.1,66.7,19.2,43.5,35%,57863.66118209541,50246.33881790459,2066.4835365899785
096770,SK이노베이션,2026-06-30,94900,관망,54.1,11.0,54.1,34.9,38.3,20%,119449.6064539149,88640.3935460851,6602.640060956097
011200,HMM,2026-06-30,18610,관망,55.3,17.9,55.3,26.8,42.8,28%,21827.96460296668,17329.035397033324,963.2425788942494
010950,S-Oil,2026-06-30,106400,매도,46.4,46.4,42.7,10.9,48.8,44%,118615.05422229164,96944.94577770836,6966.74007118523
086790,하나금융지주,2026-06-30,114600,관망,48.0,27.6,48.0,24.4,45.0,30%,131011.55210059836,107638.44789940164,6097.556592424196
069500,KODEX 200,2026-06-30,138580,매도,39.9,39.9,32.2,27.9,54.6,57%,152286.40015156093,120435.09984843907,8180.053829332744
229200,KODEX 코스닥150,2026-06-30,16565,관망,52.9,26.7,52.9,20.4,44.7,36%,18941.057390533228,15233.94260946677,986.4233252026046
305720,KODEX 2차전지산업,2026-06-30,15055,관망,50.3,12.6,50.3,37.1,39.5,19%,19332.36845507189,14039.631544928112,1116.835955793884
091160,KODEX 반도체,2026-06-30,173450,관망,38.2,38.1,38.2,23.7,55.0,61%,190773.05706912812,146770.44293087185,10984.537327756305
139220,KODEX IT,2026-06-30,8160,관망,52.0,25.1,52.0,22.9,44.2,32%,9690.791444864004,7428.708555135996,635.1771408058278
114800,KODEX 인버스,2026-06-30,902,매도,53.7,53.7,22.3,24.0,41.7,37%,1059.8919533035903,810.1080466964095,60.60841539608764
