ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치
005930,삼성전자,2026-05-21,299500,매도,56.2,56.2,20.8,23.0,69.3,87%
000660,SK하이닉스,2026-05-21,1940000,관망,64.3,17.5,64.3,18.2,71.9,81%
005380,현대차,2026-05-21,666000,매도,76.7,76.7,13.8,9.5,61.0,76%
035420,NAVER,2026-05-21,199500,매도,38.0,38.0,30.5,31.6,43.7,20%
051910,LG화학,2026-05-21,348000,관망,44.6,27.2,44.6,28.1,41.6,9%
006400,삼성SDI,2026-05-21,616000,매수,55.3,29.2,15.5,55.3,53.3,28%
035720,카카오,2026-05-21,41800,관망,48.3,30.6,48.3,21.1,37.6,15%
000270,기아,2026-05-21,167900,매도,83.5,83.5,10.7,5.8,54.4,69%
105560,KB금융,2026-05-21,155800,매수,61.2,16.7,22.0,61.2,50.2,40%
055550,신한지주,2026-05-21,94800,매수,47.4,16.1,36.5,47.4,44.6,22%
