ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-06-11,299000,매수,49.5,29.1,21.4,49.5,51.8,44%,355473.0557948161,255176.94420518389,21408.830795643426
000660,SK하이닉스,2026-06-11,2101000,매도,48.7,48.7,16.4,34.9,56.8,55%,2461848.721482032,1664051.278517968,158754.96840065083
005380,현대차,2026-06-11,597000,매도,53.6,53.6,26.5,19.9,43.0,9%,762888.5785221303,579911.4214778697,51981.38537918853
035420,NAVER,2026-06-11,224000,매도,37.3,37.3,32.5,30.2,48.4,49%,286281.7576039387,164708.2423960613,22883.621100088603
051910,LG화학,2026-06-11,316500,매수,55.1,18.5,26.4,55.1,36.7,9%,392185.201452617,308914.798547383,22589.47287047905
006400,삼성SDI,2026-06-11,498500,매수,35.9,33.7,30.3,35.9,35.3,5%,712854.5976077038,486645.4023922962,44583.2314128944
035720,카카오,2026-06-11,39300,관망,43.9,31.9,43.9,24.3,38.8,21%,45046.58310448428,37733.41689551572,2342.518468152261
000270,기아,2026-06-11,156000,관망,40.4,27.7,40.4,31.9,45.5,22%,179201.45868116207,149378.54131883793,9833.502495015427
105560,KB금융,2026-06-11,151500,관망,45.1,24.1,45.1,30.7,45.8,31%,165285.46617517062,145174.53382482938,7400.722211269465
055550,신한지주,2026-06-11,96900,매수,46.3,19.1,34.7,46.3,49.5,53%,103255.19033409758,89594.80966590242,4716.793953419624
012330,현대모비스,2026-06-11,576000,매도,40.6,40.6,33.2,26.2,46.2,25%,794980.3071775005,504919.6928224996,66336.6258200658
028260,삼성물산,2026-06-11,410000,매도,46.7,46.7,21.6,31.7,50.3,40%,498028.69552136457,352071.30447863543,42831.374259791126
066570,LG전자,2026-06-11,226000,매도,46.2,46.2,32.8,21.0,48.6,38%,367327.92299025983,140032.07700974017,36618.05380921457
003550,LG,2026-06-11,107500,관망,42.2,26.6,42.2,31.2,45.6,27%,150742.002629627,91417.997370373,13623.449085553695
017670,SK텔레콤,2026-06-11,100000,매수,37.6,26.6,35.8,37.6,47.6,33%,116643.62492375668,91846.37507624332,8730.308238439335
030200,KT,2026-06-11,60000,관망,50.5,25.1,50.5,24.5,62.5,94%,60640.27667227796,50519.72332772204,2211.7404361942727
096770,SK이노베이션,2026-06-11,103200,관망,46.6,16.8,46.6,36.6,30.3,4%,131453.5387556118,102096.4612443882,6685.19652017307
011200,HMM,2026-06-11,18850,관망,46.9,29.8,46.9,23.3,39.8,13%,20669.6709384667,18569.3290615333,714.9684430518503
010950,S-Oil,2026-06-11,113100,관망,47.3,23.9,47.3,28.8,51.6,74%,115982.57064931096,104747.42935068904,6250.365078589253
086790,하나금융지주,2026-06-11,114800,관망,53.4,13.2,53.4,33.4,45.2,27%,125276.98260442208,110963.01739557792,5849.0243311509485
069500,KODEX 200,2026-06-11,123850,매도,40.2,40.2,22.3,37.5,52.1,42%,142661.7972860306,110222.2027139694,6998.759414362293
229200,KODEX 코스닥150,2026-06-11,17635,매도,43.2,43.2,41.2,15.6,45.1,33%,20627.4371309432,16129.0628690568,1077.957344274089
305720,KODEX 2차전지산업,2026-06-11,16375,관망,40.6,26.6,40.6,32.8,34.8,6%,21443.307688143213,16026.192311856788,1079.0521899764628
091160,KODEX 반도체,2026-06-11,158000,관망,49.5,31.8,49.5,18.8,56.0,58%,171895.43243615472,139070.06756384528,9861.37537107393
139220,KODEX IT,2026-06-11,8015,관망,44.9,10.3,44.9,44.9,38.1,9%,10173.325303578584,7803.674696421416,569.1070125487528
114800,KODEX 인버스,2026-06-11,1031,매도,62.8,62.8,23.4,13.8,42.9,47%,1185.262966223595,896.0370337764051,63.12843273049082
252670,KODEX 200선물인버스2X,2026-06-11,93,매도,61.8,61.8,27.7,10.5,39.6,42%,126.76613149380162,68.63386850619838,13.043289584911252
148020,KODEX 헬스케어,2026-06-11,124705,매도,40.0,40.0,28.4,31.7,52.0,42%,143877.96609528665,110805.53390471336,7158.738973421415
364980,KODEX 수소경제,2026-06-11,10780,매수,41.1,23.9,35.1,41.1,35.9,7%,14130.348349680184,10541.651650319816,728.8375680825759
379800,KODEX 미국S&P500,2026-06-11,25245,관망,69.8,13.3,69.8,16.9,52.6,32%,26216.70392759159,24778.79607240841,284.205410408966
AAPL,애플,2026-06-11,295,관망,57.8,20.9,57.8,21.3,48.2,19%,318.2697428283722,290.2002583923309,7.303438282816164
MSFT,MS,2026-06-11,390,관망,46.6,29.0,46.6,24.4,36.9,3%,452.5344202821667,388.38315784283327,12.376812589377156
NVDA,엔비디아,2026-06-11,204,관망,43.3,32.2,43.3,24.6,45.1,16%,232.3633537812661,199.574437661605,8.364121685310183
GOOGL,알파벳,2026-06-11,357,관망,55.6,19.9,55.6,24.4,40.8,13%,406.41996564084,350.1962239343554,10.585306889310056
AMZN,아마존,2026-06-11,241,관망,55.0,25.9,55.0,19.1,36.8,10%,280.19721309768886,237.16978977096343,7.279173720676321
META,메타,2026-06-11,568,관망,59.4,18.3,59.4,22.3,35.0,-0%,644.9147814087627,568.6472181029561,18.83201313669486
TSLA,테슬라,2026-06-11,399,관망,51.5,27.0,51.5,21.4,46.3,23%,451.1529967393058,384.0210022841317,17.96259637386722
TSM,TSMC,2026-06-11,421,관망,49.6,24.4,49.6,26.0,52.8,55%,448.20224789455096,388.3897564999803,17.83075303551751
ASML,ASML,2026-06-11,1899,매수,34.7,31.1,34.2,34.7,69.3,110%,1857.3696018127905,1428.7903957458032,85.89013831590991
AMD,AMD,2026-06-11,488,매도,49.4,49.4,29.2,21.4,56.9,56%,552.5025816980371,405.2574219640722,32.3272252653548
