ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치
005930,삼성전자,2026-05-28,299500,매수,50.1,33.9,16.1,50.1,65.2,76%
000660,SK하이닉스,2026-05-28,2289000,매수,46.4,33.9,19.6,46.4,80.5,96%
005380,현대차,2026-05-28,677000,매도,55.2,55.2,10.8,34.1,60.7,71%
035420,NAVER,2026-05-28,205000,매도,63.5,63.5,24.2,12.3,49.2,47%
051910,LG화학,2026-05-28,344500,매수,40.1,27.8,32.0,40.1,42.6,21%
006400,삼성SDI,2026-05-28,676000,매도,50.8,50.8,24.3,24.9,62.0,65%
035720,카카오,2026-05-28,40100,매도,50.8,50.8,10.4,38.8,33.3,14%
000270,기아,2026-05-28,164300,매도,45.5,45.5,21.0,33.5,51.7,54%
105560,KB금융,2026-05-28,149700,매수,51.8,15.0,33.3,51.8,41.2,2%
055550,신한지주,2026-05-28,92800,매수,57.8,9.6,32.7,57.8,40.7,8%
