ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치
005930,삼성전자,2026-05-22,292500,매수,40.2,31.3,28.6,40.2,65.6,78%
000660,SK하이닉스,2026-05-22,1941000,매수,55.1,19.2,25.8,55.1,72.0,78%
005380,현대차,2026-05-22,655000,매도,61.1,61.1,13.5,25.5,59.1,70%
035420,NAVER,2026-05-22,203000,관망,47.3,35.6,47.3,17.1,46.6,33%
051910,LG화학,2026-05-22,351000,매도,50.7,50.7,11.0,38.3,42.7,16%
006400,삼성SDI,2026-05-22,647000,매도,41.0,41.0,29.7,29.3,58.5,48%
035720,카카오,2026-05-22,41850,관망,50.9,30.0,50.9,19.1,37.8,19%
000270,기아,2026-05-22,164800,매도,47.8,47.8,35.9,16.3,52.3,60%
105560,KB금융,2026-05-22,160000,관망,33.8,33.5,33.8,32.7,56.8,74%
055550,신한지주,2026-05-22,98200,매수,34.3,31.9,33.8,34.3,55.5,60%
