ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-06-16,343000,매도,37.3,37.3,35.1,27.5,61.6,80%,362688.7167020309,263161.2832979691,21992.42028353812
000660,SK하이닉스,2026-06-16,2382000,매수,45.0,25.4,29.6,45.0,65.1,83%,2521718.768039114,1709681.2319608862,159161.68570562312
005380,현대차,2026-06-16,640000,매도,37.8,37.8,33.2,28.9,50.4,39%,750580.3510701963,569419.6489298037,49891.43720046545
035420,NAVER,2026-06-16,242000,관망,41.6,30.4,41.6,27.9,53.3,59%,291098.6495111573,171791.3504888427,23376.93715630272
051910,LG화학,2026-06-16,367500,관망,43.8,30.1,43.8,26.0,54.5,83%,378379.4604722225,314620.53952777747,22299.40666779974
006400,삼성SDI,2026-06-16,549000,관망,45.7,42.7,45.7,11.6,44.9,33%,703161.4987787913,472038.5012212087,43711.68345995954
035720,카카오,2026-06-16,40450,관망,58.8,16.4,58.8,24.9,44.1,42%,43445.81371108658,38314.18628891342,2247.563073808497
000270,기아,2026-06-16,170200,관망,43.9,29.2,43.9,26.9,55.3,79%,175111.07258313973,151358.92741686027,9479.4843227219
105560,KB금융,2026-06-16,172000,매도,35.6,35.6,33.0,31.4,61.8,104%,170908.14856312616,143471.85143687384,8743.398942477776
055550,신한지주,2026-06-16,106700,관망,45.6,26.7,45.6,27.7,61.3,101%,106597.47446120056,88732.52553879945,5389.68524623284
012330,현대모비스,2026-06-16,660000,매도,45.3,45.3,43.3,11.4,56.5,54%,795017.6238514716,502782.3761485284,63843.136635089126
028260,삼성물산,2026-06-16,497000,매도,46.8,46.8,16.6,36.6,61.8,89%,515846.729893348,349953.270106652,44224.864886574745
066570,LG전자,2026-06-16,234000,관망,53.2,15.8,53.2,31.1,50.0,40%,366221.2649583462,146548.7350416538,34534.024861094906
003550,LG,2026-06-16,114100,관망,49.8,21.1,49.8,29.1,49.3,39%,150329.67667551382,90560.32332448618,12595.851909971385
017670,SK텔레콤,2026-06-16,100100,매수,44.9,21.2,33.9,44.9,47.6,34%,116630.95980236062,91729.04019763938,8217.050728808752
030200,KT,2026-06-16,56600,관망,60.8,11.2,60.8,28.0,50.8,74%,58453.06134304548,51426.93865695453,2380.90150813368
096770,SK이노베이션,2026-06-16,112500,관망,47.6,43.3,47.6,9.1,44.9,43%,126972.3473065406,101717.6526934594,6680.895318812039
011200,HMM,2026-06-16,22150,매도,36.7,36.7,33.0,30.3,67.1,120%,21470.93245740271,18136.06754259729,899.4481302423161
010950,S-Oil,2026-06-16,114100,관망,56.0,18.0,56.0,26.0,53.0,88%,115392.8608308242,105017.1391691758,5862.1181041037125
086790,하나금융지주,2026-06-16,132000,관망,42.2,27.7,42.2,30.1,62.3,117%,128674.23699988966,109015.76300011034,6502.66270245577
069500,KODEX 200,2026-06-16,139550,관망,40.7,32.4,40.7,27.0,63.3,83%,145244.88991800646,111679.11008199352,7186.211528190218
229200,KODEX 코스닥150,2026-06-16,17760,관망,47.8,21.4,47.8,30.8,46.1,40%,20200.842863344413,16120.157136655587,1014.8834859220752
305720,KODEX 2차전지산업,2026-06-16,18005,관망,61.9,26.6,61.9,11.5,46.5,42%,20887.678663378207,15893.821336621791,1054.6711593944203
091160,KODEX 반도체,2026-06-16,171815,매수,37.5,34.7,27.8,37.5,62.3,85%,177468.88877026155,138963.11122973845,9921.044712190023
