ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-06-01,349000,매도,49.4,49.4,10.7,39.9,76.0,111%,337387.84649621835,229612.15350378165,18240.346185582057
000660,SK하이닉스,2026-06-01,2363000,매수,40.2,27.0,32.8,40.2,81.9,93%,2437649.270795344,1326850.729204656,124208.18169331204
005380,현대차,2026-06-01,750000,매수,55.2,18.2,26.6,55.2,68.7,92%,770892.34670439,521007.65329561,47423.875254209306
035420,NAVER,2026-06-01,271500,매도,54.2,54.2,20.4,25.5,76.8,143%,242557.06054910828,175982.93945089172,15683.663533732188
051910,LG화학,2026-06-01,363500,매도,58.0,58.0,13.0,28.9,49.1,38%,444320.9002543455,313829.0997456545,22543.75742123333
006400,삼성SDI,2026-06-01,652000,관망,41.7,30.2,41.7,28.0,55.8,52%,725429.994081288,573370.005918712,42204.79919670565
035720,카카오,2026-06-01,42700,매도,58.6,58.6,26.1,15.3,44.8,42%,47890.85613056464,38874.14386943536,2440.44441261683
000270,기아,2026-06-01,169900,매도,59.0,59.0,17.6,23.4,55.6,67%,180718.65753567973,147851.34246432027,9407.681214080629
105560,KB금융,2026-06-01,152100,매도,38.3,38.3,33.3,28.5,45.4,26%,162897.99248586403,148392.00751413597,5595.572888528067
055550,신한지주,2026-06-01,92600,관망,50.8,14.7,50.8,34.5,40.9,11%,100063.78842423802,91646.21157576198,3358.2799713971776
012330,현대모비스,2026-06-01,761000,매수,48.8,45.2,6.0,48.8,73.1,91%,798817.3639525296,379432.6360474704,61501.854653075054
028260,삼성물산,2026-06-01,455000,매도,40.8,40.8,21.4,37.8,66.4,83%,481658.5078718573,325691.4921281427,33495.24307259706
066570,LG전자,2026-06-01,380500,매도,67.5,67.5,19.8,12.7,82.6,126%,321664.450082521,95085.54991747896,28129.290142265138
003550,LG,2026-06-01,165800,매도,50.7,50.7,12.5,36.8,76.0,129%,147374.99203821554,84575.00796178445,12651.09803907893
017670,SK텔레콤,2026-06-01,112200,매도,48.6,48.6,26.1,25.3,68.0,119%,108786.5369024462,91233.4630975538,6061.029672047195
030200,KT,2026-06-01,53200,관망,49.4,24.8,49.4,25.8,32.8,16%,62926.81947049634,51383.18052950366,1820.0892384074464
096770,SK이노베이션,2026-06-01,116200,매수,53.4,8.3,38.3,53.4,40.4,23%,147404.8218241246,106855.1781758754,7019.095629304677
011200,HMM,2026-06-01,19770,관망,55.6,15.6,55.6,28.8,43.8,30%,21005.919973663924,19244.08002633608,666.018994704209
010950,S-Oil,2026-06-01,104700,관망,57.7,10.2,57.7,32.1,37.8,19%,128146.4423022693,99163.5576977307,5867.504460915444
086790,하나금융지주,2026-06-01,113900,매수,61.2,14.9,23.9,61.2,40.1,14%,131094.28926400671,111115.71073599329,4861.045031994588
069500,KODEX 200,2026-06-01,141395,관망,46.1,21.0,46.1,33.0,79.1,105%,139393.01646887412,101704.48353112588,5630.010280496625
229200,KODEX 코스닥150,2026-06-01,18410,매수,76.5,10.1,13.4,76.5,42.5,20%,20864.65915522537,17812.840844774626,894.6281736421928
305720,KODEX 2차전지산업,2026-06-01,19750,관망,58.9,6.9,58.9,34.2,49.8,39%,23211.042025740822,17529.957974259174,1001.2720686975376
091160,KODEX 반도체,2026-06-01,165410,매수,40.2,34.5,25.3,40.2,72.0,86%,171669.33827197825,127482.66172802176,7566.117693015805
139220,KODEX IT,2026-06-01,9020,매수,56.3,13.8,29.8,56.3,45.3,25%,10816.1132570417,8430.3867429583,553.4299572966162
114800,KODEX 인버스,2026-06-01,923,매수,93.4,2.8,3.9,93.4,22.1,2%,1302.5322927358875,913.8677072641124,57.06567584934838
252670,KODEX 200선물인버스2X,2026-06-01,76,매수,95.4,2.2,2.4,95.4,22.4,7%,155.88937586894826,70.01062413105176,13.244630926212976
148020,KODEX 헬스케어,2026-06-01,142415,매수,38.6,35.2,26.3,38.6,78.6,105%,140489.26174271904,102359.23825728096,5709.267850341613
364980,KODEX 수소경제,2026-06-01,13030,관망,47.6,8.1,47.6,44.3,51.3,40%,15157.953757335672,11615.546242664328,668.185104572637
379800,KODEX 미국S&P500,2026-06-01,25855,매수,67.4,11.2,21.5,67.4,80.3,86%,26208.91532459753,23766.584675402468,227.2950416814978
AAPL,애플,2026-06-01,306,매수,64.8,14.8,20.4,64.8,67.2,69%,318.1787521497798,279.3896835191655,5.669207222051755
MSFT,MS,2026-06-01,460,매수,72.3,11.4,16.3,72.3,73.3,128%,445.8838529409076,392.7474214731549,12.050187100765186
NVDA,엔비디아,2026-06-01,224,매수,48.6,27.7,23.7,48.6,60.4,71%,234.70076381083177,198.80623844746896,7.605814945244336
GOOGL,알파벳,2026-06-01,376,매수,50.9,16.6,32.5,50.9,49.8,-0%,404.9092119481428,376.4567884180682,9.307670147826352
AMZN,아마존,2026-06-01,261,매수,37.8,25.9,36.3,37.8,48.9,8%,276.85216154375706,259.924840409368,6.872672839484475
META,메타,2026-06-01,600,매수,62.1,12.1,25.8,62.1,41.6,20%,633.8156402298256,592.0073578170494,16.987683481290283
TSLA,테슬라,2026-06-01,415,매수,71.4,11.8,16.8,71.4,50.4,40%,456.9709673041023,388.3240339166009,15.364614194502026
TSM,TSMC,2026-06-01,435,매수,75.0,13.7,11.3,75.0,65.8,109%,431.4822444714733,386.60575296505016,15.312510484371668
ASML,ASML,2026-06-01,1628,매수,50.7,10.9,38.3,50.7,60.9,79%,1686.6145842837575,1415.4854157162424,60.86365641591275
AMD,AMD,2026-06-01,510,매수,74.8,13.8,11.5,74.8,73.7,83%,541.4041512444546,353.7648551032017,26.36703671325683
