ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-06-02,360500,매도,52.4,52.4,13.0,34.7,77.7,113%,346176.7455945477,234823.25440545223,18937.464315183337
000660,SK하이닉스,2026-06-02,2360000,매수,42.3,30.8,26.8,42.3,81.7,91%,2456987.2251576656,1414912.7748423344,125907.59728664692
005380,현대차,2026-06-02,729000,매수,39.8,30.2,29.9,39.8,64.5,81%,773982.5949939304,537717.4050060696,49393.59845033721
035420,NAVER,2026-06-02,280500,매수,43.0,39.4,17.6,43.0,78.6,124%,258284.7617472907,167205.2382527093,17813.401852751318
051910,LG화학,2026-06-02,355000,매수,36.3,35.2,28.5,36.3,46.5,33%,442481.0875033764,311468.91249662364,22862.06046257381
006400,삼성SDI,2026-06-02,602000,매수,47.5,30.4,22.1,47.5,47.2,22%,720430.5787504342,569069.4212495658,44547.313539798095
035720,카카오,2026-06-02,42550,매도,55.0,55.0,30.2,14.9,44.3,43%,47288.53713631238,39001.46286368762,2423.2698117156283
000270,기아,2026-06-02,168800,매도,41.5,41.5,30.1,28.5,54.6,62%,180629.42157681283,149640.57842318717,9364.275413074867
105560,KB금융,2026-06-02,156600,매도,55.2,55.2,29.4,15.4,52.4,58%,162372.57177644264,148527.42822355736,5688.746253633205
055550,신한지주,2026-06-02,96400,매도,65.7,65.7,16.0,18.3,51.8,59%,99471.886074238,91888.113925762,3446.974259154522
012330,현대모비스,2026-06-02,759000,매수,45.5,22.3,32.2,45.5,72.7,87%,813765.9231007695,397884.0768992305,62608.86503499826
028260,삼성물산,2026-06-02,485500,매수,45.8,32.5,21.7,45.8,70.6,102%,482727.5645152317,343322.4354847684,35138.43999598299
066570,LG전자,2026-06-02,392500,매도,65.8,65.8,14.0,20.2,83.4,114%,355384.5425120536,86525.4574879464,33834.34084638906
003550,LG,2026-06-02,140000,매도,65.3,65.3,6.7,27.9,60.2,84%,150078.04735164013,85961.95264835987,14083.162464859006
017670,SK텔레콤,2026-06-02,125200,매수,52.8,31.3,15.8,52.8,76.3,136%,115300.97475697676,87729.02524302325,7585.241838329538
030200,KT,2026-06-02,53900,관망,48.7,28.8,48.7,22.5,36.6,24%,62474.02989937437,51135.97010062563,1847.225721378343
096770,SK이노베이션,2026-06-02,116300,관망,49.1,12.3,49.1,38.5,40.5,25%,144419.3844722152,106850.61552778482,6867.731655782914
011200,HMM,2026-06-02,19510,관망,44.7,13.3,44.7,42.1,40.7,19%,20977.574830598907,19173.425169401093,659.8747807967655
010950,S-Oil,2026-06-02,108300,관망,46.9,24.0,46.9,29.0,44.1,32%,123388.99837015562,101301.00162984438,6048.396999421484
086790,하나금융지주,2026-06-02,117000,관망,42.6,17.4,42.6,40.0,46.2,32%,130189.82865891184,110930.17134108816,4835.256101137832
069500,KODEX 200,2026-06-02,141575,매수,42.5,16.7,40.7,42.5,79.2,101%,141096.54648673165,104167.95351326837,5743.2238318897225
229200,KODEX 코스닥150,2026-06-02,17955,매수,88.1,5.8,6.1,88.1,39.4,10%,20862.993264614863,17624.506735385134,894.2975898106076
305720,KODEX 2차전지산업,2026-06-02,18850,매수,82.1,6.6,11.3,82.1,44.5,26%,23109.367198041728,17371.632801958272,1047.609778076285
091160,KODEX 반도체,2026-06-02,163875,매수,44.6,34.0,21.5,44.6,69.9,82%,171086.79778435576,132067.70221564424,7620.680714943248
139220,KODEX IT,2026-06-02,8900,관망,43.5,13.8,43.5,42.7,44.0,23%,10797.332641629102,8347.667358370898,546.7563889182865
114800,KODEX 인버스,2026-06-02,924,매수,89.3,6.8,3.9,89.3,22.3,4%,1263.437364986808,910.462635013192,56.34669900296635
252670,KODEX 200선물인버스2X,2026-06-02,76,매수,90.9,5.2,3.9,90.9,22.4,7%,145.7438245911774,70.8561754088226,12.870014431483478
148020,KODEX 헬스케어,2026-06-02,142860,매수,40.8,31.7,27.4,40.8,78.8,101%,142303.25651114414,104752.24348885588,5816.105861031497
364980,KODEX 수소경제,2026-06-02,12400,매수,80.2,6.5,13.3,80.2,45.6,25%,15105.536615086708,11508.963384913292,703.6718828174487
379800,KODEX 미국S&P500,2026-06-02,26000,매수,69.0,14.9,16.1,69.0,81.7,88%,26277.860049805,23910.639950195,224.6311101328194
AAPL,애플,2026-06-03,310,매수,69.5,12.6,17.8,69.5,65.9,75%,318.5046143292519,285.56046440609964,6.072327348893015
MSFT,MS,2026-06-03,427,매수,68.0,13.6,18.4,68.0,52.8,60%,449.3469231803356,393.8276495735706,12.9412833583786
NVDA,엔비디아,2026-06-03,214,매수,60.7,11.9,27.4,60.7,51.1,34%,231.66202311889245,206.1039802990763,7.876595969245691
GOOGL,알파벳,2026-06-03,358,매수,83.2,6.3,10.5,83.2,38.8,-13%,411.19811699943546,365.08388373298646,9.812584278851984
AMZN,아마존,2026-06-03,250,매수,69.4,8.6,22.0,69.4,39.4,-18%,278.4363306299496,254.434673093195,7.052917117545367
META,메타,2026-06-03,622,매수,53.1,13.5,33.5,53.1,51.5,72%,635.3047320560316,591.0422650142808,17.351015002382518
TSLA,테슬라,2026-06-03,423,매수,63.2,16.6,20.2,63.2,53.6,46%,452.9892650208216,398.861735955741,15.219541521562814
TSM,TSMC,2026-06-03,436,매수,50.9,7.5,41.6,50.9,63.2,91%,441.8650854460034,384.95891357743415,15.165226225805014
ASML,ASML,2026-06-03,1726,매수,52.0,18.3,29.7,52.0,68.1,104%,1714.908359282026,1447.4516382765678,61.57391942709829
AMD,AMD,2026-06-03,542,매수,60.1,24.4,15.5,60.1,77.8,98%,545.9219415594548,385.9730627130061,25.924180630178647
