ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-06-09,322000,매도,45.5,45.5,23.7,30.8,58.3,68%,355520.62901915965,251429.37098084035,21197.519739326097
000660,SK하이닉스,2026-06-09,2215000,매도,46.5,46.5,29.6,24.0,62.3,71%,2458369.5871689552,1624130.4128310443,150147.77400312168
005380,현대차,2026-06-09,639000,매도,44.9,44.9,11.6,43.5,49.0,27%,756494.9501211854,595605.0498788146,51505.03866462101
035420,NAVER,2026-06-09,257000,매도,43.1,43.1,17.8,39.0,59.7,77%,285470.35546456394,161969.64453543606,23018.874175250687
051910,LG화학,2026-06-09,329000,매수,53.1,24.0,23.0,53.1,40.0,19%,408212.00133572606,310137.99866427394,23009.092796531924
006400,삼성SDI,2026-06-09,515000,매수,80.3,12.7,7.0,80.3,36.9,-2%,711512.975125961,519787.0248740389,45824.33939010239
035720,카카오,2026-06-09,39500,매수,40.2,31.5,28.3,40.2,37.1,15%,45445.0248932262,38414.9751067738,2290.139761880728
000270,기아,2026-06-09,164300,매도,44.0,44.0,20.1,35.8,51.2,45%,180548.9551496573,150761.0448503427,9833.529520846296
105560,KB금융,2026-06-09,154800,매수,44.5,20.3,35.2,44.5,48.6,46%,165606.52530774858,145543.47469225142,7459.417475791805
055550,신한지주,2026-06-09,101200,매수,44.0,28.7,27.3,44.0,55.7,86%,103154.48451651522,89575.51548348478,4668.589437102049
012330,현대모비스,2026-06-09,595000,매수,77.2,12.1,10.7,77.2,48.1,32%,798033.0968216917,497366.9031783083,67106.38260788696
028260,삼성물산,2026-06-09,429000,관망,36.8,30.9,36.8,32.3,53.1,50%,501571.2011332556,355478.7988667444,43650.58789892936
066570,LG전자,2026-06-09,248000,매수,84.1,8.8,7.2,84.1,52.0,50%,371937.3609032794,124582.6390967206,38116.20441778732
003550,LG,2026-06-09,112600,매수,60.0,31.9,8.2,60.0,47.8,36%,150813.74031597574,91276.25968402423,14407.66876194393
017670,SK텔레콤,2026-06-09,108100,매수,40.7,39.4,19.9,40.7,55.6,66%,116569.22982469396,91510.77017530604,8828.641507302424
030200,KT,2026-06-09,53800,관망,41.6,27.3,41.6,31.1,37.3,32%,60955.11222420308,50484.88777579692,1842.6102100241271
096770,SK이노베이션,2026-06-09,105700,매수,54.2,27.0,18.8,54.2,32.2,0%,133387.6113055445,105592.3886944555,6843.7782127451
011200,HMM,2026-06-09,19030,관망,39.8,30.8,39.8,29.4,38.6,5%,20558.026470154407,18942.9735298456,681.087661764276
010950,S-Oil,2026-06-09,110900,매수,50.0,19.0,31.0,50.0,48.4,54%,116188.50675088602,104671.49324911398,6340.068375168601
086790,하나금융지주,2026-06-09,119000,매수,48.5,29.6,22.0,48.5,49.9,50%,127060.76016206142,110879.23983793858,5833.187981689858
069500,KODEX 200,2026-06-09,130130,매도,37.1,37.1,29.5,33.4,57.8,62%,142687.03485703506,109522.96514296492,6782.58488292905
229200,KODEX 코스닥150,2026-06-09,16760,매수,49.9,23.1,27.0,49.9,38.1,7%,20845.708247612576,16450.791752387424,1018.8736063770504
305720,KODEX 2차전지산업,2026-06-09,16775,매수,65.5,22.3,12.2,65.5,36.2,3%,21836.731814857776,16609.268185142224,1088.072362339566
091160,KODEX 반도체,2026-06-09,158600,매도,37.6,37.6,33.3,29.1,57.2,61%,171692.79685403142,138431.20314596858,9294.790371186333
139220,KODEX IT,2026-06-09,8205,매수,54.1,25.7,20.2,54.1,39.9,10%,10460.06156565563,7947.43843434437,583.4909731334648
114800,KODEX 인버스,2026-06-09,978,매도,39.9,39.9,35.0,25.1,37.2,27%,1198.36179167536,898.1382083246401,61.8649279004509
252670,KODEX 200선물인버스2X,2026-06-09,85,매수,43.3,20.2,36.5,43.3,35.1,26%,129.83128559248178,69.46871440751825,13.215886145814236
148020,KODEX 헬스케어,2026-06-09,130910,매도,37.0,37.0,35.3,27.7,57.5,62%,143900.00206197426,110103.49793802574,6955.756442547912
364980,KODEX 수소경제,2026-06-09,11040,매수,68.8,22.4,8.8,68.8,37.1,3%,14367.887383021754,10947.112616978246,734.7465286638159
379800,KODEX 미국S&P500,2026-06-09,25410,관망,45.3,18.8,45.3,35.9,56.6,48%,26293.10247265208,24583.39752734792,275.3210676932386
AAPL,애플,2026-06-09,290,매수,40.7,25.8,33.5,40.7,42.7,-3%,317.7215163560871,291.3944840101239,7.2903198337958255
MSFT,MS,2026-06-09,403,매수,34.5,34.5,31.0,34.5,42.0,18%,450.3403917985562,392.92948430007664,12.64117434779847
NVDA,엔비디아,2026-06-09,208,매도,58.1,58.1,23.3,18.5,46.5,15%,232.2115089641212,203.8062919391992,8.556550304968962
GOOGL,알파벳,2026-06-09,364,관망,38.7,31.9,38.7,29.4,44.2,16%,408.2362925852186,355.91474196067986,10.216910579202471
AMZN,아마존,2026-06-09,244,관망,42.0,33.2,42.0,24.8,36.5,2%,279.4729214635094,243.5380831751625,7.34708807010228
META,메타,2026-06-09,584,관망,40.3,32.1,40.3,27.6,39.3,5%,640.1448546154865,581.4391480700605,18.99097359865064
TSLA,테슬라,2026-06-09,396,매수,37.2,33.5,29.4,37.2,43.9,7%,452.6046068938611,392.3673932282092,17.965881016091014
TSM,TSMC,2026-06-09,427,매도,52.4,52.4,21.8,25.7,56.0,68%,448.6066955888402,384.7113067304957,18.000148019699207
ASML,ASML,2026-06-09,1777,매도,43.2,43.2,22.4,34.4,65.1,95%,1795.4932376442268,1437.5517574729608,78.73154483139534
AMD,AMD,2026-06-09,475,매수,48.3,33.5,18.2,48.3,55.3,49%,551.69043397531,401.3630694426586,32.06759996979045
