ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-07-10,285000,매수,42.3,27.0,30.8,42.3,43.9,15%,377441.7949900952,269208.2050099048,25293.788608615763
000660,SK하이닉스,2026-07-10,2180000,매수,49.8,19.2,31.0,49.8,46.1,19%,2973650.2845277544,1998349.7154722456,228071.784737043
005380,현대차,2026-07-10,457500,매수,36.7,34.1,29.2,36.7,33.1,23%,651485.1535217026,398914.8464782974,38088.6237315797
035420,NAVER,2026-07-10,191300,관망,40.3,22.6,40.3,37.1,39.7,27%,247385.0025926885,170244.99740731146,13632.76182978576
051910,LG화학,2026-07-10,264000,매도,36.2,36.2,32.5,31.3,37.2,26%,370899.2821057057,227250.71789429427,21375.08815893577
006400,삼성SDI,2026-07-10,434000,관망,42.6,42.4,42.6,14.9,39.2,21%,577588.5957782025,395211.4042217976,39640.56438435201
035720,카카오,2026-07-10,35350,관망,42.9,25.5,42.9,31.6,43.0,42%,40748.7082212891,31436.291778710904,2120.146368387682
000270,기아,2026-07-10,147500,관망,45.9,22.3,45.9,31.7,46.7,44%,171173.49402916103,128926.50597083892,9544.030258705086
105560,KB금융,2026-07-10,184400,매도,34.4,34.4,32.1,33.5,70.4,108%,181502.951292181,145287.048707819,9202.808705326506
055550,신한지주,2026-07-10,109200,관망,45.5,23.2,45.5,31.3,62.1,86%,112186.62715734016,90813.37284265984,5448.782981241372
012330,현대모비스,2026-07-10,488000,매수,41.6,28.7,29.7,41.6,40.9,31%,652054.7176821551,414645.282317845,45493.876627269456
028260,삼성물산,2026-07-10,391500,매수,46.2,19.7,34.1,46.2,42.6,10%,543029.3179354108,375120.6820645892,45129.994792689766
066570,LG전자,2026-07-10,182400,매도,36.9,36.9,31.3,31.8,41.3,20%,241769.21958276327,167450.78041723673,20719.603634655767
003550,LG,2026-07-10,101300,관망,39.0,22.1,39.0,38.8,45.0,40%,115860.64161229364,91429.35838770636,7881.9615994337055
017670,SK텔레콤,2026-07-10,88700,관망,56.3,27.2,56.3,16.5,43.0,38%,101989.77736319264,80430.22263680736,5172.910522899537
030200,KT,2026-07-10,54200,관망,55.1,10.4,55.1,34.5,48.3,53%,57229.36916954667,50730.63083045333,2251.871783928701
096770,SK이노베이션,2026-07-10,102900,관망,58.2,23.2,58.2,18.6,49.7,62%,112008.8187828042,87861.18121719579,6720.075286577543
011200,HMM,2026-07-10,19740,관망,52.4,17.6,52.4,30.1,51.7,52%,21816.301053701573,17488.698946298427,886.5319076802433
010950,S-Oil,2026-07-10,132100,매도,34.2,34.2,32.1,33.7,68.0,96%,133851.99447012894,89728.00552987106,7103.048137448389
086790,하나금융지주,2026-07-10,128500,관망,48.1,28.3,48.1,23.6,59.3,79%,133561.39337961716,109248.60662038284,6276.791648451208
