ticker,company,기준일,종가,신호,신뢰도,P_매도,P_관망,P_매수,RSI,BB위치,bb_upper,bb_lower,atr14
005930,삼성전자,2026-07-14,263000,매수,54.0,24.5,21.5,54.0,40.5,10%,380199.5384598998,250200.46154010025,26072.195279877877
000660,SK하이닉스,2026-07-14,1913000,매수,62.4,12.9,24.7,62.4,40.7,6%,3046472.074921787,1834327.9250782132,237699.6511253075
005380,현대차,2026-07-14,424500,매수,59.5,10.3,30.2,59.5,28.7,13%,613547.3546923008,395002.6453076992,38504.98678896413
035420,NAVER,2026-07-14,183200,관망,58.0,8.5,58.0,33.5,36.1,19%,235078.22188850053,170671.77811149947,12944.575251192826
051910,LG화학,2026-07-14,255000,관망,53.1,11.6,53.1,35.3,35.0,23%,349296.4460753461,227603.5539246539,20649.948463572167
006400,삼성SDI,2026-07-14,427500,매수,43.4,17.9,38.7,43.4,38.7,22%,559639.860383575,389710.139616425,40891.6090865076
035720,카카오,2026-07-14,33850,관망,48.1,17.1,48.1,34.8,38.1,28%,39112.55136950156,31812.44863049844,2033.952736007746
000270,기아,2026-07-14,139600,관망,44.1,20.7,44.1,35.2,41.8,28%,164775.8414291607,129864.1585708393,9241.536294495712
105560,KB금융,2026-07-14,180000,매도,38.4,38.4,24.3,37.2,63.4,86%,186037.508026852,143212.49197314802,9382.013628572346
055550,신한지주,2026-07-14,106500,관망,46.7,25.6,46.7,27.8,57.1,72%,112614.40658987992,90665.59341012008,5511.450631784652
012330,현대모비스,2026-07-14,466000,매수,55.9,16.1,28.0,55.9,37.4,23%,609485.9410395601,422564.0589604399,44765.12831637009
028260,삼성물산,2026-07-14,354000,매수,48.7,16.6,34.7,48.7,37.9,4%,544558.5164987127,345891.4835012873,43867.18938757434
066570,LG전자,2026-07-14,185400,관망,38.5,36.4,38.5,25.1,42.6,27%,229915.46032954805,168654.53967045195,20496.494970698084
003550,LG,2026-07-14,96400,매수,42.9,15.8,41.3,42.9,39.8,21%,111000.10195702038,92609.89804297962,7765.56893012396
017670,SK텔레콤,2026-07-14,83900,관망,47.7,18.9,47.7,33.4,36.1,16%,97414.81874794676,81415.18125205325,5006.74427739807
030200,KT,2026-07-14,51600,관망,64.9,9.7,64.9,25.4,40.9,18%,56701.42881779068,50488.57118220932,2235.0323034895428
096770,SK이노베이션,2026-07-14,104900,매도,35.3,35.3,31.2,33.5,51.1,76%,109754.55325910015,89105.44674089983,7184.656752202065
011200,HMM,2026-07-14,19760,관망,42.9,29.0,42.9,28.1,51.9,60%,21096.16622913296,17794.83377086704,904.5096550916384
010950,S-Oil,2026-07-14,131400,매도,41.0,41.0,32.1,26.9,62.5,83%,140342.68739870976,87547.31260129024,8036.81191443254
086790,하나금융지주,2026-07-14,134000,관망,37.1,31.5,37.1,31.4,64.2,97%,134684.31519519948,108655.68480480052,6622.335656062521
069500,KODEX 200,2026-07-14,109720,매수,63.7,17.6,18.7,63.7,37.1,5%,155498.84069013596,107505.65930986404,9197.234165066462
229200,KODEX 코스닥150,2026-07-14,13410,매수,56.2,18.0,25.8,56.2,33.3,10%,18415.28094507338,12826.71905492662,1057.763545097392
